team,team_id
2TM,1
3TM,2
ARI,3
ATL,4
BAL,5
BOS,6
CHC,7
CHW,8
CIN,9
CLE,10
COL,11
DET,12
HOU,13
KCR,14
LAA,15
LAD,16
MIA,17
MIL,18
MIN,19
NYM,20
NYY,21
OAK,22
PHI,23
PIT,24
SDP,25
SEA,26
SFG,27
STL,28
TBR,29
TEX,30
TOR,31
WSN,32
