player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
Marcell Ozuna,2020,29,ATL,NL,2.8,60,267,228,38,77,14,0,18,56,0,0,38,60,0.338,0.431,0.636,1.067,177.0,0.444,175.0,145,3,0,0,1,3
Francisco Lindor#,2020,26,CLE,AL,1.3,60,266,236,30,61,13,0,8,27,6,2,24,41,0.258,0.335,0.415,0.75,104.0,0.329,101.0,98,8,4,0,2,2
Cavan Biggio*,2020,25,TOR,AL,2.2,59,265,220,41,55,16,0,8,28,6,0,41,61,0.25,0.375,0.432,0.807,122.0,0.37,128.0,95,2,3,0,0,0
Whit Merrifield,2020,31,KCR,AL,0.7,60,265,248,38,70,12,0,9,30,12,3,12,33,0.282,0.325,0.44,0.764,105.0,0.344,107.0,109,3,4,0,1,0
Dansby Swanson,2020,26,ATL,NL,2.8,60,264,237,49,65,15,0,10,35,5,0,22,71,0.274,0.345,0.464,0.809,111.0,0.364,115.0,110,0,4,0,1,0
José Abreu,2020,33,CHW,AL,2.7,60,262,240,43,76,15,0,19,60,0,0,18,59,0.317,0.37,0.617,0.987,165.0,0.421,168.0,148,10,3,0,1,1
Freddie Freeman*,2020,30,ATL,NL,3.3,60,262,214,51,73,23,1,13,53,2,0,45,37,0.341,0.462,0.64,1.102,187.0,0.466,190.0,137,6,3,0,0,7
César Hernández#,2020,30,CLE,AL,1.7,58,261,233,35,66,20,0,3,20,0,0,24,57,0.283,0.355,0.408,0.763,109.0,0.337,108.0,95,3,2,1,0,0
Trevor Story,2020,27,COL,NL,2.5,59,259,235,41,68,13,4,11,28,15,3,24,63,0.289,0.355,0.519,0.874,120.0,0.384,120.0,122,5,0,0,0,1
Trea Turner,2020,27,WSN,NL,2.8,59,259,233,46,78,15,4,12,41,12,4,22,36,0.335,0.394,0.588,0.982,162.0,0.421,162.0,137,5,2,0,2,0
