player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks,awards
Mookie Betts,2024,31,LAD,NL,4.8,116,516,450,75,130,24,5,19,75,16,2,61,57,0.289,0.372,0.491,0.863,145.0,0.377,145.0,221,10,1,0,4,2,ASMVP-13SS
Andrew McCutchen,2024,37,PIT,NL,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,0.232,0.328,0.411,0.739,105.0,0.332,110.0,184,9,7,0,2,1,
Tyler Stephenson,2024,27,CIN,NL,2.4,138,515,457,69,118,26,1,19,66,1,0,48,117,0.258,0.338,0.444,0.782,112.0,0.345,114.0,203,9,8,0,2,2,
Jake Meyers,2024,28,HOU,AL,1.7,148,513,461,51,101,20,3,13,61,11,3,35,117,0.219,0.286,0.36,0.646,85.0,0.288,83.0,166,17,10,3,4,0,
Daulton Varsho,2024,27,TOR,AL,5.0,136,513,459,73,98,21,7,18,58,10,2,48,137,0.214,0.293,0.407,0.7,98.0,0.306,94.0,187,2,4,1,1,1,GG
Joey Ortiz,2024,25,MIL,NL,2.7,142,511,440,58,105,25,6,11,60,11,6,56,103,0.239,0.329,0.398,0.726,101.0,0.317,98.0,175,10,6,3,6,0,
Jesse Winker,2024,30,2TM,NL,2.0,145,508,430,63,109,23,0,14,58,14,4,63,106,0.253,0.36,0.405,0.764,118.0,0.344,122.0,174,12,10,2,3,2,
Jesse Winker,2024,30,WSN,NL,1.9,101,379,315,51,81,18,0,11,45,14,4,53,84,0.257,0.374,0.419,0.793,126.0,0.358,131.0,132,9,7,2,2,2,
Jesse Winker,2024,30,NYM,NL,0.1,44,129,115,12,28,5,0,3,13,0,0,10,22,0.243,0.318,0.365,0.683,95.0,0.303,95.0,42,3,3,0,1,0,
Ryan Mountcastle,2024,27,BAL,AL,2.6,124,507,473,54,128,30,2,13,63,3,0,27,114,0.271,0.308,0.425,0.733,113.0,0.323,114.0,201,13,1,0,6,0,
Gavin Sheets,2024,28,CHW,AL,-1.0,139,501,451,35,105,24,1,10,45,2,2,43,106,0.233,0.303,0.357,0.66,90.0,0.292,88.0,161,6,4,0,3,2,
Charlie Blackmon,2024,37,COL,NL,0.6,124,499,449,59,115,24,5,12,52,6,2,43,86,0.256,0.329,0.412,0.741,100.0,0.329,100.0,185,4,6,0,1,2,
Cedric Mullins,2024,29,BAL,AL,2.6,147,499,444,69,104,16,3,18,54,32,6,41,98,0.234,0.305,0.405,0.71,107.0,0.322,107.0,180,1,5,2,2,0,
Isiah Kiner-Falefa,2024,29,2TM,2LG,3.6,133,496,465,53,125,18,4,8,43,11,2,16,78,0.269,0.306,0.376,0.683,92.0,0.308,93.0,175,12,10,3,2,0,
Isiah Kiner-Falefa,2024,29,TOR,AL,3.2,83,281,257,32,75,8,2,7,33,3,1,13,37,0.292,0.338,0.42,0.758,116.0,0.338,119.0,108,9,6,3,2,0,
Isiah Kiner-Falefa,2024,29,PIT,NL,0.4,50,215,208,21,50,10,2,1,10,8,1,3,41,0.24,0.265,0.322,0.587,63.0,0.27,60.0,67,3,4,0,0,0,
J.D. Martinez,2024,36,NYM,NL,0.5,120,495,434,46,102,24,1,16,69,0,0,49,141,0.235,0.32,0.406,0.725,106.0,0.321,108.0,176,17,6,0,2,0,
Jake McCarthy,2024,26,ARI,NL,1.7,142,495,442,66,126,13,7,8,56,25,6,31,78,0.285,0.349,0.4,0.749,109.0,0.335,107.0,177,4,14,5,3,1,
Ryan O'Hearn,2024,30,BAL,AL,1.9,142,494,443,60,117,21,3,15,59,3,1,46,69,0.264,0.334,0.427,0.761,122.0,0.337,125.0,189,7,2,0,3,2,
Jonah Heim,2024,29,TEX,AL,1.1,131,491,459,45,101,12,1,13,59,1,1,26,90,0.22,0.267,0.336,0.602,72.0,0.268,71.0,154,13,4,0,2,0,
Michael Conforto,2024,31,SFG,NL,1.3,130,488,438,56,104,27,3,20,66,0,1,42,118,0.237,0.309,0.45,0.759,116.0,0.326,115.0,197,16,5,0,3,1,
Gavin Lux,2024,26,LAD,NL,2.1,139,487,439,59,110,24,2,10,50,5,2,44,110,0.251,0.32,0.383,0.703,101.0,0.314,103.0,168,8,2,0,2,0,
Connor Wong,2024,28,BOS,AL,1.6,126,487,447,54,125,24,1,13,52,8,7,28,114,0.28,0.333,0.425,0.758,110.0,0.327,107.0,190,7,9,1,2,1,
Keibert Ruiz,2024,25,WSN,NL,0.6,127,485,459,46,105,21,0,13,57,3,1,16,54,0.229,0.26,0.359,0.619,74.0,0.27,70.0,165,13,5,0,5,0,
José Caballero,2024,27,TBR,AL,1.6,139,483,441,53,100,24,1,9,44,44,16,27,133,0.227,0.283,0.347,0.63,80.0,0.292,83.0,153,6,9,3,3,1,
Paul DeJong,2024,30,2TM,AL,0.9,139,482,445,54,101,17,0,24,56,2,2,23,156,0.227,0.276,0.427,0.703,97.0,0.304,95.0,190,9,9,0,5,0,
Paul DeJong,2024,30,CHW,AL,0.2,102,363,337,39,77,14,0,18,41,2,1,14,112,0.228,0.275,0.43,0.706,99.0,0.303,95.0,145,8,9,0,3,0,
Paul DeJong,2024,30,KCR,AL,0.7,37,119,108,15,24,3,0,6,15,0,1,9,44,0.222,0.277,0.417,0.694,92.0,0.308,97.0,45,1,0,0,2,0,
Tommy Pham,2024,36,3TM,2LG,-0.2,116,478,440,49,109,20,3,9,39,7,3,35,106,0.248,0.305,0.368,0.674,91.0,0.308,96.0,162,5,2,0,1,0,
Tommy Pham,2024,36,2TM,AL,0.2,93,401,372,42,95,17,2,7,27,7,3,28,90,0.255,0.309,0.368,0.678,93.0,0.312,100.0,137,3,1,0,0,0,
