player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks,awards
Colt Keith,2024,22,DET,AL,1.1,148,556,516,54,134,15,4,13,61,7,1,36,110,0.26,0.309,0.38,0.689,96.0,0.308,95.0,196,4,2,0,2,2,
Vinnie Pasquantino,2024,26,KCR,AL,1.1,131,554,496,64,130,30,2,19,97,1,0,40,71,0.262,0.315,0.446,0.76,111.0,0.328,108.0,221,12,4,1,13,1,
Lourdes Gurriel Jr.,2024,30,ARI,NL,2.0,133,553,513,72,143,22,2,18,75,7,1,29,101,0.279,0.322,0.435,0.757,109.0,0.329,106.0,223,16,6,0,5,1,
Christian Walker,2024,33,ARI,NL,2.6,130,552,479,72,120,26,0,26,84,2,2,55,133,0.251,0.335,0.468,0.803,121.0,0.34,116.0,224,12,10,0,8,4,GG
Zack Gelof,2024,24,OAK,AL,1.4,138,547,497,60,105,20,2,17,49,25,3,38,188,0.211,0.27,0.362,0.632,82.0,0.286,80.0,180,7,4,3,5,0,
Will Smith,2024,29,LAD,NL,3.5,128,544,476,77,118,24,2,20,75,1,1,51,105,0.248,0.327,0.433,0.76,116.0,0.327,112.0,206,8,9,0,8,6,AS
Steven Kwan,2024,26,CLE,AL,4.0,122,540,480,83,140,16,3,14,44,12,5,53,51,0.292,0.368,0.425,0.793,126.0,0.352,128.0,204,5,5,2,0,0,ASGG
Brendan Rodgers,2024,27,COL,NL,1.1,135,539,501,67,134,29,1,13,54,1,0,31,132,0.267,0.314,0.407,0.721,94.0,0.317,92.0,204,12,4,1,2,1,
Trea Turner,2024,31,PHI,NL,3.0,121,539,505,88,149,25,0,21,62,19,4,27,98,0.295,0.338,0.469,0.807,124.0,0.358,127.0,237,10,6,0,1,0,AS
Justin Turner,2024,39,2TM,AL,1.5,139,539,460,59,119,24,0,11,55,0,2,59,95,0.259,0.354,0.383,0.737,114.0,0.328,116.0,176,16,13,0,7,2,
Justin Turner,2024,39,TOR,AL,0.4,91,349,301,37,77,17,0,6,31,0,2,39,60,0.256,0.35,0.372,0.722,107.0,0.321,109.0,112,15,6,0,3,0,
Justin Turner,2024,39,SEA,AL,1.2,48,190,159,22,42,7,0,5,24,0,0,20,35,0.264,0.363,0.403,0.766,128.0,0.341,130.0,64,1,7,0,4,2,
Jesús Sánchez,2024,26,MIA,NL,0.7,149,537,489,60,123,25,1,18,64,16,2,41,140,0.252,0.313,0.417,0.731,97.0,0.326,96.0,204,12,4,1,2,2,
Ty France,2024,29,2TM,2LG,-0.6,140,535,479,46,112,24,0,13,51,1,1,38,114,0.234,0.305,0.365,0.67,92.0,0.301,95.0,175,16,13,0,5,0,
Ty France,2024,29,SEA,AL,-0.2,88,340,300,28,67,14,0,8,31,0,1,28,83,0.223,0.312,0.35,0.662,97.0,0.3,102.0,105,11,11,0,1,0,
Ty France,2024,29,CIN,NL,-0.4,52,195,179,18,45,10,0,5,20,1,0,10,31,0.251,0.292,0.391,0.683,85.0,0.302,83.0,70,5,2,0,4,0,
Shea Langeliers,2024,26,OAK,AL,2.9,137,534,482,58,108,18,2,29,80,4,2,41,145,0.224,0.288,0.45,0.739,111.0,0.321,111.0,217,15,5,0,6,2,
