rank,player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
199,LaMonte Wade Jr.,,30,SFG,NL,104,92,70,785,739,660,78,1,59,0.999,-5,-8,1,2,8.46,7.96,6.96,7.5
200,Ben Rortvedt,,26,TBR,AL,111,87,67,782,790,755,26,9,2,0.989,0,0,-1,-2,8.99,9.14,6.97,8.96
201,Rhys Hoskins,,31,MIL,NL,94,88,76,777.1,660,602,55,3,52,0.995,-4,-6,-3,-5,7.61,8.29,6.99,8.18
202,Jake Fraley,,29,CIN,NL,100,91,71,776.2,199,193,4,2,0,0.99,6,8,-1,-2,2.28,2.21,1.97,2.18
203,Jon Singleton,,32,HOU,AL,94,88,72,768.2,640,568,64,8,60,0.988,-14,-22,-8,-12,7.4,8.03,6.72,7.92
204,Byron Buxton,,30,MIN,AL,94,87,79,767,206,204,2,0,0,1,-19,-29,2,3,2.42,2.27,2.19,2.24
205,Alejandro Kirk,,25,TOR,AL,93,89,77,766,759,706,46,7,6,0.991,6,9,13,20,8.84,9.16,8.09,9.03
206,Jake Rogers,,29,DET,AL,92,86,75,761,776,744,29,3,4,0.996,6,9,13,20,9.14,9.16,8.4,9.03
207,Miguel Rojas,,35,LAD,NL,102,86,67,757,334,132,199,3,27,0.991,5,7,11,17,3.94,3.76,3.06,3.7
208,Kevin Newman,,30,ARI,NL,109,79,65,754.1,332,114,213,5,52,0.985,3,4,10,16,3.9,4.04,2.82,4.19
209,Tyrone Taylor,,30,NYM,NL,113,75,51,754.1,199,193,3,3,0,0.985,1,2,10,16,2.34,2.21,1.73,2.18
210,Oswaldo Cabrera,,25,NYY,AL,104,79,70,753.1,301,136,158,7,19,0.977,-4,-6,3,5,3.51,3.1,2.6,3.28
211,Josh Lowe,,26,TBR,AL,92,87,69,743.1,195,189,2,4,1,0.979,-1,-1,-2,-3,2.31,2.27,2.08,2.24
212,Michael A. Taylor,,33,PIT,NL,106,80,72,735.2,235,229,3,3,0,0.987,13,22,11,18,2.84,2.21,2.19,2.18
213,Gabriel Moreno,,24,ARI,NL,93,83,78,732,669,636,31,2,4,0.997,4,7,10,16,8.2,9.06,7.1,8.87
214,Christian Vázquez,,33,MIN,AL,89,82,75,731.1,806,773,29,4,2,0.995,2,3,7,11,9.87,9.05,8.91,8.8
215,Tyler Fitzgerald,,26,SFG,NL,88,81,71,728.1,314,120,180,14,33,0.955,-5,-8,-5,-8,3.71,3.69,3.19,3.62
216,Zach McKinstry,,29,DET,AL,107,79,44,727.1,235,84,142,9,24,0.962,4,6,1,2,2.8,3.18,1.67,3
217,Francisco Alvarez,,22,NYM,NL,96,82,70,726,806,775,25,6,1,0.993,-6,-10,-1,-2,9.92,9.06,8.33,8.94
218,José Miranda,,26,MIN,AL,90,85,61,723.2,240,128,106,6,15,0.975,-2,-4,1,2,2.91,3.24,2.54,3.23
219,Whit Merrifield,,35,2TM,NL,88,80,69,723,254,114,135,5,29,0.98,-3,-6,-5,-8,3.1,3.46,2.71,3.35
219,Whit Merrifield,,35,PHI,NL,47,40,34,373.1,109,67,39,3,10,0.972,0,-1,0,0,2.56,2.82,2.08,2.78
219,Whit Merrifield,,35,ATL,NL,41,40,35,349.2,145,47,96,2,19,0.986,-3,-10,-5,-17,3.68,4.15,3.49,4.05
220,Kevin Kiermaier,,34,2TM,2LG,113,82,57,722.1,235,230,2,3,1,0.987,4,7,10,17,2.89,2.26,2.05,2.22
220,Kevin Kiermaier,,34,TOR,AL,81,63,47,550.1,171,167,1,3,0,0.982,1,1,9,20,2.75,2.27,2.07,2.24
220,Kevin Kiermaier,,34,LAD,NL,32,19,10,172,64,63,1,0,1,1,4,26,1,7,3.35,2.21,2,2.18
221,Ryan Jeffers,,27,MIN,AL,86,81,76,720.1,786,749,31,6,0,0.992,-3,-5,-4,-7,9.75,9.16,9.07,9.03
222,Emmanuel Rivera,,28,2TM,2LG,116,76,57,715,272,137,131,4,20,0.985,-6,-11,-5,-8,3.37,3.32,2.2,3.42
222,Emmanuel Rivera,,28,MIA,NL,91,59,47,549.1,211,96,112,3,17,0.986,-1,-2,0,0,3.41,3.27,2.21,3.24
222,Emmanuel Rivera,,28,BAL,AL,25,17,10,165.2,61,41,19,1,3,0.984,-6,-40,-5,-36,3.26,3.48,2.14,4.01
223,Carlos Correa,,29,MIN,AL,84,84,76,712.1,293,119,169,5,26,0.983,2,3,-3,-5,3.64,3.7,3.43,3.65
224,Travis d'Arnaud,,35,ATL,NL,89,79,74,706.2,744,716,25,3,3,0.996,3,5,-6,-10,9.44,9.06,8.33,8.94
225,Ramón Urías,,30,BAL,AL,96,75,67,702.2,190,58,126,6,12,0.968,-6,-10,-3,-5,2.36,2.58,1.88,2.6
226,Mitch Haniger,,33,SEA,AL,90,80,65,702.1,171,162,4,5,0,0.971,-1,-2,-1,-2,2.13,2.27,1.84,2.24
227,David Hamilton,,26,BOS,AL,94,78,55,699.2,330,115,205,10,40,0.97,0,-1,4,7,4.12,3.8,3.17,3.75
228,James Wood,,21,WSN,NL,79,79,77,697.2,137,129,4,4,1,0.971,-1,-2,-7,-12,1.72,2.21,1.68,2.18
229,Gavin Sheets,,28,CHW,AL,88,84,61,695.1,376,346,28,2,29,0.995,-9,-15,-7,-12,4.84,5.24,4.25,5.02
230,Will Brennan,,26,CLE,AL,98,79,50,694,161,157,2,2,0,0.988,2,3,-6,-10,2.06,2.27,1.62,2.24
231,Jeimer Candelario,,30,CIN,NL,80,79,68,689.2,327,220,96,11,26,0.966,-9,-15,-10,-17,4.12,4.5,3.67,4.62
232,Manuel Margot,,29,MIN,AL,113,68,38,688.1,166,163,0,3,0,0.982,3,5,-3,-5,2.13,2.27,1.44,2.24
233,Adam Duvall,,35,ATL,NL,91,74,68,685,157,151,4,2,0,0.987,-6,-11,-3,-5,2.04,2.21,1.7,2.18
234,Bo Bichette,,26,TOR,AL,81,81,72,684.1,242,76,159,7,35,0.971,-4,-6,-3,-5,3.09,3.7,2.9,3.65
235,Starling Marte,,35,NYM,NL,85,80,62,680.1,146,138,6,2,2,0.986,-15,-26,-6,-11,1.9,2.21,1.69,2.18
236,Ildemaro Vargas,,32,WSN,NL,92,71,55,679.1,239,100,133,6,32,0.975,-3,-5,-3,-5,3.09,3.19,2.22,3.12
237,TJ Friedl,,28,CIN,NL,82,79,69,678,198,192,3,3,1,0.985,1,2,-5,-9,2.59,2.21,2.38,2.18
238,Ramón Laureano,,29,2TM,2LG,96,74,58,675.1,146,138,7,1,0,0.993,1,1,3,5,1.93,2.23,1.51,2.2
238,Ramón Laureano,,29,CLE,AL,31,20,13,186,57,52,5,0,0,1,4,28,3,19,2.76,2.27,1.84,2.24
238,Ramón Laureano,,29,ATL,NL,65,54,45,489.1,89,86,2,1,0,0.989,-4,-9,0,0,1.62,2.21,1.35,2.18
239,Luis Campusano,,25,SDP,NL,88,74,70,673.2,728,701,24,3,0,0.996,-5,-9,-17,-30,9.69,9.06,8.24,8.92
240,Carson Kelly,,29,2TM,AL,84,75,70,672.2,678,642,33,3,8,0.996,1,2,-6,-11,9.03,9.16,8.04,9.03
240,Carson Kelly,,29,DET,AL,60,52,49,472.1,490,461,27,2,7,0.996,3,8,-2,-5,9.3,9.16,8.13,9.03
240,Carson Kelly,,29,TEX,AL,24,23,21,200.1,188,181,6,1,1,0.995,-2,-12,-4,-24,8.4,9.16,7.79,9.03
241,Javier Báez,,31,DET,AL,80,76,73,672.1,320,122,189,9,39,0.972,-1,-1,-4,-7,4.16,3.7,3.89,3.65
242,Alec Burleson,,25,STL,NL,87,81,47,671.1,238,221,16,1,12,0.996,-2,-3,-3,-5,3.18,3.27,2.63,3.18
243,Jesse Winker,,30,2TM,NL,92,85,50,670.2,138,129,7,2,1,0.986,-2,-4,1,2,1.83,2.21,1.48,2.18
243,Jesse Winker,,30,WSN,NL,65,62,47,515.2,105,98,5,2,1,0.981,-1,-2,1,2,1.8,2.21,1.58,2.18
243,Jesse Winker,,30,NYM,NL,27,23,3,155,33,31,2,0,0,1,-1,-9,0,0,1.92,2.21,1.22,2.18
244,Kyle Higashioka,,34,SDP,NL,83,77,60,665.2,698,669,20,9,1,0.987,-3,-5,1,2,9.32,9.06,8.3,8.94
245,Mark Canha,,35,2TM,2LG,89,74,58,665,407,383,20,4,32,0.99,-1,-1,-6,-11,5.45,5.57,4.33,5.34
245,Mark Canha,,35,DET,AL,61,59,48,515.1,281,265,13,3,22,0.989,-3,-7,-4,-9,4.86,5.03,4.34,4.99
245,Mark Canha,,35,SFG,NL,28,15,10,149.2,126,118,7,1,10,0.992,2,18,-2,-16,7.52,7.41,4.31,6.12
246,Freddy Fermin,,29,KCR,AL,91,72,71,663,674,634,35,5,2,0.993,12,22,16,29,9.08,9.16,7.35,9.03
247,Parker Meadows,,24,DET,AL,82,75,59,660,194,193,0,1,0,0.995,16,28,5,9,2.63,2.27,2.35,2.24
248,Brandon Drury,,31,LAA,AL,80,74,64,656.2,346,174,167,5,48,0.986,4,7,-4,-7,4.67,4.3,3.97,4.29
249,Danny Jansen,,29,2TM,AL,82,72,69,654.1,643,619,18,6,1,0.991,0,0,-11,-20,8.76,9.16,7.77,9.03
249,Danny Jansen,,29,TOR,AL,54,50,49,443.1,443,424,16,3,0,0.993,0,0,-6,-16,8.93,9.16,8.15,9.03
249,Danny Jansen,,29,BOS,AL,28,22,20,211,200,195,2,3,1,0.985,0,0,-5,-28,8.4,9.16,7.04,9.03
250,Chas McCormick,,29,HOU,AL,93,72,46,646,162,160,1,1,0,0.994,3,6,-2,-4,2.24,2.27,1.73,2.24
251,Richie Palacios,,27,TBR,AL,86,70,58,645.1,226,132,87,7,15,0.969,7,12,5,9,3.05,2.97,2.41,2.94
252,Vidal Bruján,,26,MIA,NL,87,68,51,630,264,116,139,9,29,0.966,-4,-7,4,8,3.64,3.47,2.6,3.33
253,Edmundo Sosa,,28,PHI,NL,86,68,50,628.2,291,101,184,6,36,0.979,3,6,6,11,4.08,3.63,3.13,3.52
254,Jake Bauers,,28,MIL,NL,89,69,49,628.1,484,441,38,5,42,0.99,-1,-3,-2,-4,6.86,7.56,4.99,6.9
255,Brett Wisely,,25,SFG,NL,86,68,54,626.2,288,85,200,3,43,0.99,2,4,4,8,4.09,3.96,3.1,3.93
256,Taylor Walls,,27,TBR,AL,83,68,64,625.1,255,80,172,3,33,0.988,14,28,12,23,3.63,3.7,3.04,3.65
257,Jose Iglesias,,34,NYM,NL,85,69,47,625,250,91,156,3,38,0.988,0,1,4,8,3.56,3.81,2.4,3.52
258,Seiya Suzuki,,29,CHC,NL,73,72,69,625,158,150,5,3,3,0.981,-3,-5,2,4,2.23,2.21,2.12,2.18
259,Edouard Julien,,25,MIN,AL,90,71,47,624.1,258,87,166,5,25,0.981,-8,-15,-6,-12,3.65,3.98,2.78,3.95
260,Michael Massey,,26,KCR,AL,82,70,55,623.1,302,122,177,3,39,0.99,0,1,0,0,4.32,3.97,3.65,3.91
261,Luis Rengifo,,27,LAA,AL,75,71,61,622.2,243,87,150,6,29,0.975,-2,-4,-4,-8,3.43,3.08,2.93,3.01
262,Jack Suwinski,,25,PIT,NL,85,67,45,617.2,178,177,0,1,0,0.994,3,6,-15,-29,2.58,2.21,2.08,2.18
263,Víctor Robles,,27,2TM,2LG,87,73,48,616.2,172,165,4,3,1,0.983,7,14,4,8,2.47,2.26,1.94,2.23
263,Víctor Robles,,27,WSN,NL,14,10,7,82.2,27,25,1,1,0,0.963,2,22,2,29,2.83,2.21,1.86,2.18
263,Víctor Robles,,27,SEA,AL,73,63,41,534,145,140,3,2,1,0.986,6,13,2,4,2.41,2.27,1.96,2.24
264,Dominic Smith,,29,2TM,2LG,82,71,48,616,556,472,77,7,49,0.987,10,19,-2,-4,8.02,8.01,6.46,7.7
264,Dominic Smith,,29,BOS,AL,77,66,46,576.2,526,443,76,7,45,0.987,10,20,-2,-4,8.1,8,6.49,7.67
264,Dominic Smith,,29,CIN,NL,5,5,2,39.1,30,29,1,0,4,1,0,3,0,0,6.86,8.28,6,8.18
265,Miguel Andujar,,29,OAK,AL,72,71,64,615.2,141,129,10,2,1,0.986,9,17,-1,-2,2.03,2.27,1.9,2.32
266,Abraham Toro,,27,OAK,AL,79,71,57,614.1,217,84,128,5,18,0.977,-3,-5,-2,-4,3.11,3.1,2.62,3.12
267,Austin Martin,,25,MIN,AL,82,69,42,612,160,139,20,1,3,0.994,-9,-18,-13,-25,2.34,2.53,1.81,2.51
268,Kevin Pillar,,35,2TM,AL,86,67,55,607.2,153,150,2,1,0,0.993,-5,-10,-2,-4,2.25,2.27,1.77,2.24
268,Kevin Pillar,,35,CHW,AL,14,8,6,72.2,17,17,0,0,0,1,1,8,0,0,2.11,2.27,1.21,2.24
268,Kevin Pillar,,35,LAA,AL,72,59,49,535,136,133,2,1,0,0.993,-6,-13,-2,-4,2.27,2.27,1.88,2.24
269,Joey Loperfido,,25,2TM,AL,76,69,45,604.2,158,156,2,0,0,1,8,15,6,12,2.35,2.3,2.05,2.39
269,Joey Loperfido,,25,HOU,AL,35,31,18,275.1,64,63,1,0,0,1,6,25,2,9,2.09,2.33,1.83,2.4
269,Joey Loperfido,,25,TOR,AL,41,38,27,329.1,94,93,1,0,0,1,2,7,4,15,2.57,2.27,2.24,2.37
270,Elias Díaz,,33,2TM,NL,79,70,62,604.1,500,467,29,4,1,0.992,-1,-2,5,10,7.39,9.06,6.28,8.94
270,Elias Díaz,,33,COL,NL,67,63,57,538.1,434,403,27,4,1,0.991,-1,-2,5,11,7.19,9.06,6.42,8.94
270,Elias Díaz,,33,SDP,NL,12,7,5,66,66,64,2,0,0,1,0,0,0,0,9,9.05,5.5,8.94
271,Jacob Stallings,,34,COL,NL,76,67,58,603.2,537,506,24,7,1,0.987,0,0,-6,-12,7.9,9.06,6.97,8.94
272,Max Muncy,,33,LAD,NL,72,66,64,602.1,165,44,115,6,16,0.964,3,6,5,10,2.38,2.55,2.21,2.51
273,Xavier Edwards,,24,MIA,NL,70,68,65,599,247,91,149,7,32,0.972,-15,-29,-8,-16,3.61,3.83,3.43,3.77
274,Sean Murphy,,29,ATL,NL,69,67,63,594,741,709,27,5,3,0.993,1,2,4,8,11.15,9.06,10.67,8.94
275,Kyle Tucker,,27,HOU,AL,70,68,62,592.2,128,124,4,0,2,1,6,13,7,14,1.94,2.27,1.83,2.24
276,Eddie Rosario,,32,2TM,NL,75,67,45,592.2,131,126,3,2,2,0.985,-5,-11,-4,-8,1.96,2.21,1.72,2.18
276,Eddie Rosario,,32,WSN,NL,51,44,31,400.2,94,91,1,2,1,0.979,-5,-15,-5,-15,2.07,2.21,1.8,2.18
276,Eddie Rosario,,32,ATL,NL,24,23,14,192,37,35,2,0,1,1,0,-1,1,6,1.73,2.21,1.54,2.18
277,Spencer Horwitz,,26,TOR,AL,73,69,49,588.2,370,271,96,3,40,0.992,-6,-12,-6,-12,5.61,6.04,4.59,5.97
278,Nick Gordon,,28,MIA,NL,82,68,53,588.1,148,136,9,3,1,0.98,1,2,-7,-14,2.22,2.26,1.75,2.32
279,Nolan Jones,,26,COL,NL,69,67,64,583.2,112,103,4,5,0,0.955,-2,-4,-4,-8,1.65,2.21,1.55,2.18
280,Jason Heyward,,34,2TM,2LG,85,63,49,580,149,145,2,2,0,0.987,13,27,5,10,2.28,2.23,1.73,2.2
280,Jason Heyward,,34,LAD,NL,61,49,38,435,115,113,1,1,0,0.991,11,30,3,8,2.36,2.21,1.87,2.18
280,Jason Heyward,,34,HOU,AL,24,14,11,145,34,32,1,1,0,0.971,2,17,2,17,2.05,2.27,1.38,2.24
281,Dominic Fletcher,,26,CHW,AL,71,64,55,567.2,179,165,8,6,1,0.966,-7,-15,7,15,2.74,2.27,2.44,2.24
282,Garrett Hampson,,29,KCR,AL,112,59,28,567.1,191,148,40,3,11,0.984,8,17,9,19,2.98,2.76,1.49,3
283,Amed Rosario,,28,3TM,2LG,73,63,43,565.2,162,93,67,2,12,0.988,-10,-20,-11,-23,2.55,3.11,1.95,3.08
283,Amed Rosario,,28,2TM,NL,13,8,2,70,21,12,9,0,2,1,-2,-31,-1,-17,2.7,3.21,1.4,3.18
283,Amed Rosario,,28,TBR,AL,60,55,41,495.2,141,81,58,2,10,0.986,-8,-19,-10,-24,2.52,3.1,2.07,3.06
283,Amed Rosario,,28,LAD,NL,5,3,0,24,12,4,8,0,2,1,0,-10,0,0,4.5,3.94,2.4,3.64
283,Amed Rosario,,28,CIN,NL,8,5,2,46,9,8,1,0,0,1,-2,-42,-1,-26,1.76,2.84,0.9,2.95
284,Kyle Farmer,,33,MIN,AL,102,59,29,565,188,57,129,2,17,0.989,0,-1,-4,-8,2.96,3.57,1.59,3.48
285,Chris Taylor,,33,LAD,NL,85,56,34,564,151,98,51,2,10,0.987,-4,-9,-2,-4,2.38,2.72,1.51,2.66
286,Yasmani Grandal,,35,PIT,NL,71,62,54,563.1,589,572,10,7,1,0.988,-4,-8,0,0,9.3,9.06,7.97,8.92
287,Nick Ahmed,,34,3TM,NL,69,66,58,563.1,255,77,175,3,40,0.988,-3,-5,-1,-2,4.03,3.83,3.65,3.78
287,Nick Ahmed,,34,SFG,NL,51,50,44,426,198,61,134,3,33,0.985,0,0,0,0,4.12,3.82,3.82,3.77
287,Nick Ahmed,,34,LAD,NL,16,14,12,120.1,46,13,33,0,7,1,-3,-28,0,0,3.44,3.82,2.88,3.77
287,Nick Ahmed,,34,SDP,NL,2,2,2,17,11,3,8,0,0,1,0,28,-1,-71,5.82,4.02,5.5,3.95
288,James McCann,,34,BAL,AL,66,63,59,560.2,564,528,28,8,2,0.986,-2,-4,-5,-11,8.93,9.15,8.42,8.91
289,Dylan Carlson,,25,2TM,2LG,86,54,41,558.1,145,143,1,1,1,0.993,-1,-1,-6,-13,2.32,2.24,1.67,2.2
289,Dylan Carlson,,25,STL,NL,57,28,18,317.1,90,88,1,1,1,0.989,4,15,-3,-11,2.52,2.21,1.56,2.18
289,Dylan Carlson,,25,TBR,AL,29,26,23,241,55,55,0,0,0,1,-4,-22,-3,-15,2.05,2.27,1.9,2.24
290,Ryan O'Hearn,,30,BAL,AL,78,68,41,557.2,361,337,19,5,28,0.986,-5,-10,-4,-9,5.75,6.4,4.34,6.05
291,Victor Caratini,,30,HOU,AL,69,63,59,556,587,557,27,3,10,0.995,-1,-1,3,6,9.45,9,8.46,8.85
292,Brandon Lowe,,29,TBR,AL,69,64,56,555.1,281,151,130,0,35,1,2,4,1,2,4.55,4.67,3.96,4.65
293,Joey Gallo,,30,WSN,NL,69,61,55,554.2,479,453,25,1,45,0.998,3,7,6,13,7.76,7.45,6.83,7.24
294,Ezequiel Durán,,25,TEX,AL,75,63,45,553,228,138,85,5,18,0.978,8,17,2,4,3.63,3.59,2.9,3.47
295,Jose Trevino,,31,NYY,AL,72,62,48,546.1,580,552,22,6,2,0.99,0,0,9,20,9.46,9.13,7.86,8.82
296,Joey Bart,,27,PIT,NL,69,62,56,545,525,498,23,4,3,0.992,-2,-4,-4,-9,8.6,9.06,7.55,8.94
297,Pedro Pagés,,25,STL,NL,67,60,56,543.2,521,490,28,3,1,0.994,-2,-4,3,7,8.58,9.06,7.73,8.93
298,Tyler Nevin,,27,OAK,AL,80,64,24,542,303,261,38,4,25,0.987,-7,-16,-1,-2,4.96,4.57,3.22,4.62
299,Austin Hays,,28,2TM,2LG,76,59,48,541.2,118,115,2,1,0,0.992,-6,-12,-8,-18,1.94,2.25,1.54,2.22
299,Austin Hays,,28,BAL,AL,55,38,31,360,83,80,2,1,0,0.988,-3,-11,-4,-13,2.05,2.27,1.49,2.24
299,Austin Hays,,28,PHI,NL,21,21,17,181.2,35,35,0,0,0,1,-2,-14,-4,-26,1.73,2.21,1.67,2.18
300,Tim Anderson,,31,MIA,NL,63,62,59,537.1,245,66,170,9,34,0.963,-1,-2,0,0,3.95,3.82,3.75,3.77
301,Stuart Fairchild,,28,CIN,NL,84,54,39,526,171,170,1,0,1,1,5,11,6,14,2.93,2.21,2.04,2.18
302,Mike Tauchman,,33,CHC,NL,75,54,42,521,115,113,1,1,1,0.991,-6,-13,-5,-12,1.97,2.21,1.52,2.18
303,Triston Casas,,24,BOS,AL,61,56,51,512,505,450,50,5,36,0.99,-1,-3,-1,-2,8.79,8.03,8.2,7.92
304,DJ LeMahieu,,35,NYY,AL,66,55,42,511.1,297,212,82,3,20,0.99,-5,-11,-5,-12,5.17,4.82,3.97,5.25
305,Cavan Biggio,,29,3TM,2LG,69,56,39,508,234,145,82,7,23,0.97,-7,-17,-3,-7,4.02,4.07,2.87,4.2
305,Cavan Biggio,,29,2TM,NL,31,22,16,204.1,106,75,26,5,11,0.953,-8,-48,-5,-29,4.45,4.85,2.89,4.64
305,Cavan Biggio,,29,TOR,AL,38,34,23,303.2,128,70,56,2,12,0.984,1,4,2,8,3.73,3.55,2.86,3.85
305,Cavan Biggio,,29,LAD,NL,27,21,15,191.1,99,72,22,5,9,0.949,-7,-43,-4,-25,4.42,4.89,3.03,4.71
305,Cavan Biggio,,29,ATL,NL,4,1,1,13,7,3,4,0,2,1,-1,-111,-1,-92,4.85,4.15,1.75,4.1
306,Jorge Mateo,,29,BAL,AL,64,57,47,505.2,228,87,137,4,25,0.982,2,4,0,0,3.99,3.9,3.39,3.79
307,Daniel Schneemann,,27,CLE,AL,70,61,21,505,163,89,68,6,12,0.963,-1,-3,2,5,2.8,2.89,1.78,2.91
308,Adam Frazier,,32,KCR,AL,81,58,32,503,188,95,90,3,14,0.984,3,7,5,12,3.31,3.21,2.13,3.15
309,Trey Lipscomb,,24,WSN,NL,60,57,48,496.1,168,49,110,9,16,0.946,3,7,3,7,2.88,2.87,2.56,3.02
310,Rob Refsnyder,,33,BOS,AL,76,51,36,495.1,122,116,2,4,0,0.967,4,9,-4,-10,2.14,2.27,1.55,2.24
311,Leo Jiménez,,23,TOR,AL,61,55,47,490.1,204,78,122,4,29,0.98,0,0,2,5,3.67,3.79,3.13,3.74
312,Addison Barger,,24,TOR,AL,63,55,36,485.1,138,82,49,7,7,0.949,-5,-13,3,7,2.43,2.38,1.87,2.34
313,Trent Grisham,,27,NYY,AL,69,52,44,485.1,146,141,3,2,2,0.986,1,3,0,0,2.67,2.27,2.09,2.24
314,Miguel Vargas,,24,2TM,2LG,65,57,40,484,126,58,63,5,10,0.96,-7,-16,-2,-5,2.25,2.38,1.86,2.42
314,Miguel Vargas,,24,LAD,NL,28,20,5,166,34,30,3,1,1,0.971,-3,-20,0,0,1.79,2.21,1.18,2.4
314,Miguel Vargas,,24,CHW,AL,37,37,35,318,92,28,60,4,9,0.957,-4,-14,-2,-8,2.49,2.47,2.38,2.43
315,Enmanuel Valdéz,,25,BOS,AL,68,57,33,479.1,217,71,140,6,23,0.972,-3,-9,-5,-13,3.96,3.93,3.06,3.82
316,Jackson Holliday,,20,BAL,AL,59,53,49,474.2,211,80,128,3,30,0.986,-6,-16,-3,-8,3.94,3.96,3.53,3.9
317,Iván Herrera,,24,STL,NL,56,52,47,469.2,496,476,17,3,2,0.994,-5,-13,-7,-18,9.45,9.06,8.8,8.94
318,Noelvi Marté,,22,CIN,NL,55,53,50,469.1,130,45,73,12,6,0.908,-4,-10,-8,-20,2.26,2.55,2.11,2.54
319,Garrett Mitchell,,25,MIL,NL,60,51,37,456.2,122,119,3,0,0,1,3,8,6,16,2.4,2.21,2.03,2.18
320,Tyler Soderstrom,,22,OAK,AL,59,53,42,455,404,377,24,3,47,0.993,1,2,-3,-8,7.93,8.04,6.68,7.94
321,Andy Ibáñez,,31,DET,AL,85,45,24,453.2,255,147,106,2,32,0.992,4,11,8,21,5.02,4.42,2.75,4.27
322,Cristian Pache,,25,3TM,2LG,78,47,29,451.2,123,117,3,3,0,0.976,1,1,3,8,2.39,2.21,1.54,2.18
322,Cristian Pache,,25,2TM,NL,76,47,29,447.2,123,117,3,3,0,0.976,1,1,3,8,2.41,2.21,1.58,2.18
322,Cristian Pache,,25,PHI,NL,45,30,18,282.2,73,69,2,2,0,0.973,3,14,4,17,2.26,2.21,1.58,2.18
322,Cristian Pache,,25,BAL,AL,2,0,0,4,0,0,0,0,0,,0,0,0,0,0,2.25,0,2.25
322,Cristian Pache,,25,MIA,NL,31,17,11,165,50,48,1,1,0,0.98,-3,-21,-1,-7,2.67,2.21,1.58,2.18
323,David Peralta,,36,SDP,NL,65,53,27,448,89,87,1,1,0,0.989,2,4,-1,-3,1.77,2.21,1.35,2.18
324,Nick Senzel,,29,2TM,2LG,54,52,45,446.1,143,35,102,6,8,0.958,-4,-9,-11,-30,2.76,2.53,2.54,2.5
324,Nick Senzel,,29,WSN,NL,47,45,39,388.1,128,28,95,5,8,0.961,-1,-2,-8,-25,2.85,2.55,2.62,2.51
324,Nick Senzel,,29,CHW,AL,7,7,6,58,15,7,7,1,0,0.933,-3,-58,-3,-62,2.17,2.44,2,2.4
325,Jordan Beck,,23,COL,NL,54,50,45,444.1,100,96,3,1,1,0.99,2,6,1,3,2.01,2.21,1.83,2.18
326,Luis Guillorme,,29,3TM,2LG,75,45,34,441.1,186,68,116,2,29,0.989,7,18,2,5,3.75,3.67,2.36,3.57
326,Luis Guillorme,,29,2TM,NL,25,16,11,150,67,22,45,0,10,1,5,36,2,16,4.02,4.1,2.58,3.91
326,Luis Guillorme,,29,ATL,NL,9,6,3,54,24,7,17,0,3,1,2,51,0,0,4,4.07,2.67,3.74
326,Luis Guillorme,,29,LAA,AL,50,29,23,291.1,119,46,71,2,19,0.983,2,8,0,0,3.61,3.45,2.25,3.39
326,Luis Guillorme,,29,ARI,NL,16,10,8,96,43,15,28,0,7,1,2,28,2,25,4.03,4.12,2.53,3.99
327,Willson Contreras,,32,STL,NL,51,50,48,431.2,383,359,21,3,1,0.992,0,0,0,0,7.92,9.06,7.45,8.94
328,Joey Meneses,,32,WSN,NL,50,49,46,431.2,387,358,29,0,39,1,0,1,0,0,8.07,8.29,7.74,8.18
329,Trevor Larnach,,27,MIN,AL,57,52,27,429,91,91,0,0,0,1,2,6,0,0,1.91,2.27,1.6,2.24
330,Garrett Stubbs,,31,PHI,NL,55,47,44,428.1,435,417,16,2,2,0.995,0,0,-2,-6,9.1,8.99,7.73,8.4
331,Ronald Acuña Jr.,,26,ATL,NL,48,48,47,428,102,98,2,2,0,0.98,-3,-9,-7,-20,2.1,2.21,2.08,2.18
332,Elehuris Montero,,25,COL,NL,54,49,43,426,477,453,21,3,47,0.994,-4,-11,-3,-8,10.01,8.29,8.78,8.18
333,Matt Wallner,,26,MIN,AL,58,49,33,425.1,113,109,4,0,1,1,-1,-4,0,0,2.39,2.27,1.95,2.22
334,Anthony Rendon,,34,LAA,AL,50,49,46,423,127,35,87,5,9,0.961,-5,-13,2,6,2.6,2.47,2.44,2.44
335,Donovan Solano,,36,SDP,NL,57,46,39,421.1,207,148,58,1,20,0.995,-1,-4,0,0,4.4,4.84,3.49,5.04
336,Kyle Stowers,,26,2TM,2LG,59,48,26,421.1,117,114,3,0,0,1,0,1,-1,-3,2.5,2.22,1.98,2.19
336,Kyle Stowers,,26,BAL,AL,12,7,2,63.1,16,16,0,0,0,1,-1,-15,0,0,2.27,2.27,1.33,2.24
336,Kyle Stowers,,26,MIA,NL,47,41,24,358,101,98,3,0,0,1,1,4,-1,-3,2.54,2.21,2.15,2.18
337,Yordan Alvarez,,27,HOU,AL,53,53,23,421,75,71,3,1,0,0.987,-2,-6,-5,-14,1.58,2.27,1.4,2.24
338,Dominic Canzone,,26,SEA,AL,61,50,36,420.2,100,100,0,0,0,1,4,10,1,3,2.14,2.27,1.64,2.24
