rank,player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
68,Jake Meyers,,28,HOU,AL,145,126,120,1145,352,349,2,1,0,0.997,14,15,6,6,2.76,2.27,2.42,2.24
69,Rafael Devers,,27,BOS,AL,130,130,116,1138.1,299,102,185,12,19,0.96,-1,-1,-9,-9,2.27,2.47,2.21,2.44
70,Jonathan India,,27,CIN,NL,133,132,123,1137,460,217,239,4,53,0.991,6,7,-10,-11,3.61,4.15,3.43,4.09
71,Julio Rodríguez,,23,SEA,AL,131,131,122,1133.1,343,334,4,5,1,0.985,13,14,3,3,2.68,2.27,2.58,2.24
72,Sal Frelick,,24,MIL,NL,142,129,97,1132,280,271,6,3,1,0.989,4,4,15,16,2.2,2.21,1.94,2.18
73,Vladimir Guerrero Jr.,,25,TOR,AL,129,129,118,1126.1,987,885,90,12,93,0.988,-6,-6,-1,-1,7.79,7.54,7.33,7.43
74,Adolis García,,31,TEX,AL,131,130,118,1124.2,262,253,5,4,3,0.985,5,6,-5,-5,2.06,2.27,1.97,2.24
75,Cal Raleigh,,27,SEA,AL,135,125,119,1122,1195,1138,51,6,8,0.995,6,6,17,18,9.54,9.16,8.81,9.03
76,Anthony Santander,,29,BAL,AL,130,129,104,1120.1,271,262,7,2,2,0.993,9,10,-7,-7,2.16,2.28,2.05,2.28
77,Matt Vierling,,27,DET,AL,138,124,90,1110.1,319,238,77,4,7,0.987,9,10,2,2,2.55,2.35,2.1,2.35
78,Shea Langeliers,,26,OAK,AL,131,123,118,1108.2,1063,1007,51,5,5,0.995,-2,-2,-10,-11,8.59,9.16,8.08,9.03
79,José Ramírez,,31,CLE,AL,126,126,117,1108,315,99,207,9,23,0.971,4,4,6,6,2.49,2.47,2.43,2.44
80,Ty France,,29,2TM,2LG,133,124,115,1106,944,843,96,5,82,0.995,-1,-1,-8,-9,7.64,8.11,7.01,7.98
80,Ty France,,29,SEA,AL,87,82,76,736,651,581,66,4,54,0.994,-2,-4,-6,-10,7.91,8.02,7.35,7.87
80,Ty France,,29,CIN,NL,46,42,39,370,293,262,30,1,28,0.997,1,4,-2,-6,7.1,8.29,6.35,8.18
81,José Caballero,,27,TBR,AL,137,123,99,1105.1,418,125,281,12,51,0.971,7,8,2,2,3.31,3.5,2.62,3.41
82,Christian Walker,,33,ARI,NL,129,126,117,1104.1,1055,977,76,2,104,0.998,4,5,7,8,8.58,8.29,8.16,8.18
83,Brayan Rocchio,,23,CLE,AL,142,121,111,1102,462,166,284,12,75,0.974,11,12,11,12,3.68,3.7,3.17,3.65
84,Brendan Rodgers,,27,COL,NL,132,124,121,1093,531,181,342,8,89,0.985,-2,-2,-4,-4,4.31,4.15,3.96,4.09
85,Cedric Mullins,,29,BAL,AL,140,121,112,1090,274,271,2,1,0,0.996,-3,-3,-5,-6,2.25,2.27,1.95,2.24
86,Colt Keith,,22,DET,AL,133,125,108,1086.2,515,194,309,12,68,0.977,-2,-2,-8,-9,4.17,3.97,3.78,3.91
87,Luis García Jr.,,24,WSN,NL,129,122,115,1086,536,221,305,10,84,0.981,1,1,-5,-6,4.36,4.15,4.08,4.09
88,Josh Smith,,26,TEX,AL,132,122,113,1086,337,115,211,11,21,0.967,-7,-8,-1,-1,2.7,2.9,2.36,2.87
89,Daulton Varsho,,27,TOR,AL,136,123,89,1085.1,327,320,5,2,1,0.994,19,21,28,31,2.7,2.27,2.39,2.24
90,Max Schuemann,,27,OAK,AL,132,119,106,1071.2,415,139,261,15,48,0.964,-6,-7,-7,-8,3.36,3.44,2.88,3.33
91,Lane Thomas,,28,2TM,2LG,127,119,107,1065.2,270,256,7,7,3,0.974,-18,-20,-13,-15,2.22,2.23,2.07,2.2
91,Lane Thomas,,28,WSN,NL,76,76,73,667.2,171,162,5,4,3,0.977,-15,-26,-10,-18,2.25,2.21,2.2,2.18
91,Lane Thomas,,28,CLE,AL,51,43,34,398,99,94,2,3,0,0.97,-3,-10,-3,-9,2.17,2.27,1.88,2.24
92,Logan O'Hoppe,,24,LAA,AL,127,121,116,1064.1,1009,962,41,6,0,0.994,4,5,1,1,8.48,9.16,7.9,9.03
93,Isiah Kiner-Falefa,,29,2TM,2LG,131,122,97,1063,445,148,292,5,60,0.989,3,3,15,17,3.73,3.43,2.93,3.37
93,Isiah Kiner-Falefa,,29,TOR,AL,81,74,55,644.2,278,94,181,3,38,0.989,8,15,12,22,3.84,3.24,2.84,3.21
93,Isiah Kiner-Falefa,,29,PIT,NL,50,48,42,418.1,167,54,111,2,22,0.988,-5,-13,3,9,3.55,3.73,3.11,3.65
94,Jake McCarthy,,26,ARI,NL,137,116,88,1061.2,274,270,2,2,1,0.993,-10,-11,-3,-3,2.31,2.21,1.99,2.18
95,William Contreras,,26,MIL,NL,120,119,115,1060,1099,1054,37,8,2,0.993,6,7,6,7,9.26,9.06,9.09,8.94
96,Lourdes Gurriel Jr.,,30,ARI,NL,127,120,108,1060,248,239,4,5,0,0.98,7,8,3,3,2.06,2.22,1.9,2.23
97,Andrew Vaughn,,26,CHW,AL,122,121,118,1059.1,896,816,76,4,75,0.996,0,0,-4,-5,7.58,8.03,7.31,7.92
98,Paul DeJong,,30,2TM,AL,131,121,110,1058.1,385,143,227,15,35,0.961,-10,-11,-8,-9,3.15,3.32,2.82,3.27
98,Paul DeJong,,30,CHW,AL,100,93,88,817.2,311,119,178,14,29,0.955,-14,-20,-11,-16,3.27,3.57,2.97,3.52
