player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
Eugenio Suárez,2024,32,ARI,NL,155,154,146,1361.2,390,88,292,10,33,0.974,3.0,3.0,-4,-4.0,2.51,2.55,2.45,2.51
Gleyber Torres,2024,27,NYY,AL,153,152,144,1342.2,582,234,330,18,74,0.969,-9.0,-8.0,-11,-10.0,3.78,3.97,3.69,3.91
Matt Chapman,2024,31,SFG,NL,154,153,147,1338.0,405,100,290,15,34,0.963,15.0,13.0,17,15.0,2.62,2.55,2.53,2.51
Willi Castro,2024,27,MIN,AL,158,150,116,1334.1,433,247,178,8,24,0.982,-26.0,-23.0,-18,-16.0,2.87,3.15,2.31,3.05
Ceddanne Rafaela,2024,23,BOS,AL,151,147,114,1333.1,489,297,180,12,41,0.975,-1.0,-1.0,10,9.0,3.22,3.02,2.61,2.97
Zach Neto,2024,23,LAA,AL,155,153,148,1332.2,654,231,405,18,103,0.972,14.0,13.0,11,10.0,4.3,3.7,4.1,3.65
Andrés Giménez,2024,25,CLE,AL,152,151,144,1331.0,638,233,396,9,93,0.986,14.0,13.0,20,18.0,4.25,3.97,4.14,3.91
Juan Soto,2024,25,NYY,AL,151,151,140,1329.2,314,302,10,2,1,0.994,2.0,2.0,0,0.0,2.11,2.27,2.07,2.24
Jackson Merrill,2024,21,SDP,NL,155,148,147,1323.1,403,392,8,3,4,0.993,-2.0,-2.0,0,0.0,2.72,2.21,2.58,2.18
Corbin Carroll,2024,23,ARI,NL,156,146,139,1317.0,366,358,6,2,2,0.995,-10.0,-9.0,-3,-3.0,2.49,2.21,2.33,2.18
Paul Goldschmidt,2024,36,STL,NL,150,148,143,1313.0,1323,1216,102,5,137,0.996,-6.0,-6.0,0,0.0,9.03,8.29,8.79,8.18
Francisco Lindor,2024,30,NYM,NL,151,150,141,1311.2,564,194,358,12,74,0.979,6.0,5.0,1,1.0,3.79,3.82,3.66,3.77
Alex Verdugo,2024,28,NYY,AL,149,145,134,1308.2,293,285,7,1,1,0.997,7.0,6.0,7,6.0,2.01,2.27,1.96,2.24
Teoscar Hernández,2024,31,LAD,NL,154,154,104,1308.0,263,253,7,3,3,0.989,-1.0,-1.0,-3,-3.0,1.79,2.21,1.69,2.18
Nico Hoerner,2024,27,CHC,NL,150,149,137,1307.1,610,238,363,9,64,0.985,-4.0,-3.0,3,3.0,4.14,4.13,3.9,4.07
Ryan McMahon,2024,29,COL,NL,152,149,142,1306.2,436,98,323,15,33,0.966,11.0,10.0,10,9.0,2.9,2.55,2.77,2.51
Spencer Steer,2024,26,CIN,NL,151,150,116,1306.1,601,548,47,6,30,0.99,-1.0,-1.0,-1,-1.0,4.1,4.56,3.44,4.45
JJ Bleday,2024,26,OAK,AL,157,144,134,1295.0,405,392,8,5,1,0.988,-1.0,0.0,-19,-18.0,2.78,2.27,2.55,2.24
Jake Cronenworth,2024,30,SDP,NL,149,146,132,1293.1,923,709,208,6,99,0.993,-1.0,-1.0,-1,-1.0,6.38,6.44,5.92,6.33
Brendan Donovan,2024,27,STL,NL,148,145,121,1292.0,394,242,150,2,28,0.995,-3.0,-3.0,0,0.0,2.73,2.86,2.35,2.8
Masyn Winn,2024,22,STL,NL,148,143,141,1285.1,611,191,402,18,100,0.971,11.0,10.0,14,13.0,4.15,3.82,4.01,3.77
Brice Turang,2024,24,MIL,NL,152,142,132,1277.2,626,240,379,7,78,0.989,13.0,12.0,22,21.0,4.36,4.15,4.07,4.09
Dansby Swanson,2024,30,CHC,NL,148,146,137,1273.1,506,166,335,5,56,0.99,1.0,1.0,7,7.0,3.54,3.82,3.39,3.77
Freddie Freeman,2024,34,LAD,NL,147,147,132,1270.1,1141,1022,115,4,93,0.996,-1.0,-1.0,1,1.0,8.06,8.29,7.73,8.18
Maikel Garcia,2024,24,KCR,AL,156,142,125,1270.0,398,112,272,14,29,0.965,-8.0,-8.0,-1,-1.0,2.72,2.78,2.31,2.8
Nolan Arenado,2024,33,STL,NL,146,145,132,1268.1,392,103,280,9,26,0.977,13.0,12.0,6,6.0,2.72,2.55,2.62,2.51
Jose Altuve,2024,34,HOU,AL,147,146,130,1262.0,475,158,312,5,85,0.989,2.0,2.0,-13,-12.0,3.35,3.97,3.2,3.91
Brandon Nimmo,2024,31,NYM,NL,147,142,108,1253.0,245,239,4,2,0,0.992,2.0,2.0,-3,-3.0,1.75,2.21,1.65,2.18
Jacob Young,2024,24,WSN,NL,149,142,137,1251.2,401,388,5,8,2,0.98,8.0,8.0,12,12.0,2.83,2.21,2.64,2.18
Jazz Chisholm Jr.,2024,26,2TM,2LG,143,142,130,1251.2,357,268,80,9,7,0.975,-7.0,-6.0,-6,-6.0,2.5,2.33,2.4,2.3
Jazz Chisholm Jr.,2024,26,MIA,NL,97,96,86,837.1,234,226,6,2,1,0.991,-6.0,-8.0,-4,-6.0,2.49,2.26,2.37,2.24
Jazz Chisholm Jr.,2024,26,NYY,AL,46,46,44,414.1,123,42,74,7,6,0.943,-1.0,-3.0,-2,-6.0,2.52,2.46,2.47,2.43
Carlos Santana,2024,38,MIN,AL,146,139,135,1250.0,1094,998,92,4,67,0.996,10.0,10.0,8,8.0,7.85,8.03,7.47,7.92
Ian Happ,2024,29,CHC,NL,144,144,131,1248.1,319,307,11,1,2,0.997,19.0,18.0,8,8.0,2.29,2.21,2.21,2.18
Randy Arozarena,2024,29,2TM,AL,145,141,131,1247.1,286,279,5,2,0,0.993,-3.0,-3.0,-7,-7.0,2.05,2.27,1.96,2.24
Randy Arozarena,2024,29,TBR,AL,93,89,82,792.1,171,165,4,2,0,0.988,-8.0,-12.0,-5,-8.0,1.92,2.27,1.82,2.24
Randy Arozarena,2024,29,SEA,AL,52,52,49,455.0,115,114,1,0,0,1.0,5.0,13.0,-2,-5.0,2.27,2.27,2.21,2.24
Brenton Doyle,2024,26,COL,NL,146,142,138,1242.2,438,426,8,4,3,0.991,17.0,16.0,11,11.0,3.14,2.21,2.97,2.18
Taylor Ward,2024,30,LAA,AL,141,141,136,1241.0,315,302,8,5,0,0.984,2.0,2.0,0,0.0,2.25,2.27,2.2,2.24
Alex Bregman,2024,30,HOU,AL,142,142,132,1234.2,355,103,242,10,23,0.972,12.0,12.0,6,6.0,2.51,2.47,2.43,2.44
Bryce Harper,2024,31,PHI,NL,141,141,131,1233.1,1150,1050,95,5,99,0.996,7.0,7.0,5,5.0,8.36,8.29,8.12,8.18
Isaac Paredes,2024,25,2TM,2LG,141,139,126,1228.1,409,174,219,16,31,0.961,2.0,2.0,-2,-2.0,2.88,3.05,2.71,3.11
Isaac Paredes,2024,25,TBR,AL,91,91,83,802.0,281,150,124,7,26,0.975,3.0,5.0,-1,-1.0,3.07,3.31,2.88,3.42
Isaac Paredes,2024,25,CHC,NL,50,48,43,426.1,128,24,95,9,5,0.93,-1.0,-4.0,-1,-3.0,2.51,2.55,2.38,2.51
Leody Taveras,2024,25,TEX,AL,148,138,128,1227.0,388,376,9,3,2,0.992,-14.0,-14.0,-10,-10.0,2.82,2.27,2.6,2.24
Jurickson Profar,2024,31,SDP,NL,150,150,93,1221.2,249,243,5,1,1,0.996,-7.0,-6.0,-8,-8.0,1.83,2.3,1.65,2.26
Nolan Schanuel,2024,22,LAA,AL,144,137,131,1211.1,1101,1018,76,7,127,0.994,-5.0,-5.0,1,1.0,8.13,8.03,7.6,7.92
Zack Gelof,2024,24,OAK,AL,138,136,134,1209.2,603,264,332,7,92,0.988,2.0,1.0,-1,-1.0,4.43,3.97,4.32,3.91
Jackson Chourio,2024,20,MIL,NL,146,135,112,1207.0,290,286,4,0,0,1.0,13.0,13.0,12,12.0,2.16,2.21,1.99,2.18
Josh Naylor,2024,27,CLE,AL,137,137,128,1205.0,1086,1008,69,9,110,0.992,3.0,3.0,-6,-6.0,8.04,8.03,7.86,7.92
Alec Bohm,2024,27,PHI,NL,138,137,128,1203.1,458,180,263,15,20,0.967,0.0,0.0,-2,-2.0,3.31,3.06,3.1,3.1
Bryson Stott,2024,26,PHI,NL,144,133,122,1201.1,570,232,332,6,74,0.989,-3.0,-3.0,6,6.0,4.23,4.13,3.74,4.06
Nathaniel Lowe,2024,28,TEX,AL,138,135,134,1193.2,1080,983,92,5,73,0.995,9.0,9.0,1,1.0,8.11,8.03,7.79,7.92
Colton Cowser,2024,24,BAL,AL,146,133,98,1192.2,312,308,3,1,0,0.997,6.0,6.0,3,3.0,2.35,2.27,2.13,2.24
Bryan Reynolds,2024,29,PIT,NL,133,133,121,1173.2,254,241,11,2,2,0.992,-14.0,-14.0,-5,-5.0,1.93,2.21,1.89,2.18
CJ Abrams,2024,23,WSN,NL,136,135,124,1170.2,526,160,349,17,68,0.968,-9.0,-9.0,1,1.0,3.91,3.82,3.74,3.77
Joey Ortiz,2024,25,MIL,NL,141,129,113,1164.0,365,114,241,10,30,0.973,12.0,12.0,8,8.0,2.74,2.63,2.37,2.66
Salvador Perez,2024,34,KCR,AL,136,134,110,1157.1,1119,1064,50,5,38,0.996,7.0,7.0,-4,-4.0,8.66,8.78,7.96,8.64
Oneil Cruz,2024,25,PIT,NL,135,129,123,1153.1,451,194,231,26,53,0.942,-2.0,-2.0,-12,-12.0,3.32,3.55,3.15,3.5
Michael Busch,2024,26,CHC,NL,144,133,107,1150.2,1022,940,78,4,68,0.996,8.0,8.0,5,5.0,7.96,8.22,6.97,8.06
Jake Meyers,2024,28,HOU,AL,145,126,120,1145.0,352,349,2,1,0,0.997,14.0,15.0,6,6.0,2.76,2.27,2.42,2.24
Rafael Devers,2024,27,BOS,AL,130,130,116,1138.1,299,102,185,12,19,0.96,-1.0,-1.0,-9,-9.0,2.27,2.47,2.21,2.44
Jonathan India,2024,27,CIN,NL,133,132,123,1137.0,460,217,239,4,53,0.991,6.0,7.0,-10,-11.0,3.61,4.15,3.43,4.09
Julio Rodríguez,2024,23,SEA,AL,131,131,122,1133.1,343,334,4,5,1,0.985,13.0,14.0,3,3.0,2.68,2.27,2.58,2.24
Sal Frelick,2024,24,MIL,NL,142,129,97,1132.0,280,271,6,3,1,0.989,4.0,4.0,15,16.0,2.2,2.21,1.94,2.18
Vladimir Guerrero Jr.,2024,25,TOR,AL,129,129,118,1126.1,987,885,90,12,93,0.988,-6.0,-6.0,-1,-1.0,7.79,7.54,7.33,7.43
Adolis García,2024,31,TEX,AL,131,130,118,1124.2,262,253,5,4,3,0.985,5.0,6.0,-5,-5.0,2.06,2.27,1.97,2.24
Cal Raleigh,2024,27,SEA,AL,135,125,119,1122.0,1195,1138,51,6,8,0.995,6.0,6.0,17,18.0,9.54,9.16,8.81,9.03
Anthony Santander,2024,29,BAL,AL,130,129,104,1120.1,271,262,7,2,2,0.993,9.0,10.0,-7,-7.0,2.16,2.28,2.05,2.28
Matt Vierling,2024,27,DET,AL,138,124,90,1110.1,319,238,77,4,7,0.987,9.0,10.0,2,2.0,2.55,2.35,2.1,2.35
Shea Langeliers,2024,26,OAK,AL,131,123,118,1108.2,1063,1007,51,5,5,0.995,-2.0,-2.0,-10,-11.0,8.59,9.16,8.08,9.03
José Ramírez,2024,31,CLE,AL,126,126,117,1108.0,315,99,207,9,23,0.971,4.0,4.0,6,6.0,2.49,2.47,2.43,2.44
Ty France,2024,29,2TM,2LG,133,124,115,1106.0,944,843,96,5,82,0.995,-1.0,-1.0,-8,-9.0,7.64,8.11,7.01,7.98
Ty France,2024,29,SEA,AL,87,82,76,736.0,651,581,66,4,54,0.994,-2.0,-4.0,-6,-10.0,7.91,8.02,7.35,7.87
Ty France,2024,29,CIN,NL,46,42,39,370.0,293,262,30,1,28,0.997,1.0,4.0,-2,-6.0,7.1,8.29,6.35,8.18
José Caballero,2024,27,TBR,AL,137,123,99,1105.1,418,125,281,12,51,0.971,7.0,8.0,2,2.0,3.31,3.5,2.62,3.41
Christian Walker,2024,33,ARI,NL,129,126,117,1104.1,1055,977,76,2,104,0.998,4.0,5.0,7,8.0,8.58,8.29,8.16,8.18
Brayan Rocchio,2024,23,CLE,AL,142,121,111,1102.0,462,166,284,12,75,0.974,11.0,12.0,11,12.0,3.68,3.7,3.17,3.65
Brendan Rodgers,2024,27,COL,NL,132,124,121,1093.0,531,181,342,8,89,0.985,-2.0,-2.0,-4,-4.0,4.31,4.15,3.96,4.09
Cedric Mullins,2024,29,BAL,AL,140,121,112,1090.0,274,271,2,1,0,0.996,-3.0,-3.0,-5,-6.0,2.25,2.27,1.95,2.24
Colt Keith,2024,22,DET,AL,133,125,108,1086.2,515,194,309,12,68,0.977,-2.0,-2.0,-8,-9.0,4.17,3.97,3.78,3.91
Luis García Jr.,2024,24,WSN,NL,129,122,115,1086.0,536,221,305,10,84,0.981,1.0,1.0,-5,-6.0,4.36,4.15,4.08,4.09
Josh Smith,2024,26,TEX,AL,132,122,113,1086.0,337,115,211,11,21,0.967,-7.0,-8.0,-1,-1.0,2.7,2.9,2.36,2.87
Daulton Varsho,2024,27,TOR,AL,136,123,89,1085.1,327,320,5,2,1,0.994,19.0,21.0,28,31.0,2.7,2.27,2.39,2.24
Max Schuemann,2024,27,OAK,AL,132,119,106,1071.2,415,139,261,15,48,0.964,-6.0,-7.0,-7,-8.0,3.36,3.44,2.88,3.33
Lane Thomas,2024,28,2TM,2LG,127,119,107,1065.2,270,256,7,7,3,0.974,-18.0,-20.0,-13,-15.0,2.22,2.23,2.07,2.2
Lane Thomas,2024,28,WSN,NL,76,76,73,667.2,171,162,5,4,3,0.977,-15.0,-26.0,-10,-18.0,2.25,2.21,2.2,2.18
Lane Thomas,2024,28,CLE,AL,51,43,34,398.0,99,94,2,3,0,0.97,-3.0,-10.0,-3,-9.0,2.17,2.27,1.88,2.24
Logan O'Hoppe,2024,24,LAA,AL,127,121,116,1064.1,1009,962,41,6,0,0.994,4.0,5.0,1,1.0,8.48,9.16,7.9,9.03
Isiah Kiner-Falefa,2024,29,2TM,2LG,131,122,97,1063.0,445,148,292,5,60,0.989,3.0,3.0,15,17.0,3.73,3.43,2.93,3.37
Isiah Kiner-Falefa,2024,29,TOR,AL,81,74,55,644.2,278,94,181,3,38,0.989,8.0,15.0,12,22.0,3.84,3.24,2.84,3.21
Isiah Kiner-Falefa,2024,29,PIT,NL,50,48,42,418.1,167,54,111,2,22,0.988,-5.0,-13.0,3,9.0,3.55,3.73,3.11,3.65
Jake McCarthy,2024,26,ARI,NL,137,116,88,1061.2,274,270,2,2,1,0.993,-10.0,-11.0,-3,-3.0,2.31,2.21,1.99,2.18
William Contreras,2024,26,MIL,NL,120,119,115,1060.0,1099,1054,37,8,2,0.993,6.0,7.0,6,7.0,9.26,9.06,9.09,8.94
Lourdes Gurriel Jr.,2024,30,ARI,NL,127,120,108,1060.0,248,239,4,5,0,0.98,7.0,8.0,3,3.0,2.06,2.22,1.9,2.23
Andrew Vaughn,2024,26,CHW,AL,122,121,118,1059.1,896,816,76,4,75,0.996,0.0,0.0,-4,-5.0,7.58,8.03,7.31,7.92
Paul DeJong,2024,30,2TM,AL,131,121,110,1058.1,385,143,227,15,35,0.961,-10.0,-11.0,-8,-9.0,3.15,3.32,2.82,3.27
Paul DeJong,2024,30,CHW,AL,100,93,88,817.2,311,119,178,14,29,0.955,-14.0,-20.0,-11,-16.0,3.27,3.57,2.97,3.52
Paul DeJong,2024,30,KCR,AL,31,28,22,240.2,74,24,49,1,6,0.986,4.0,19.0,3,15.0,2.73,2.48,2.35,2.48
Gavin Lux,2024,26,LAD,NL,138,117,99,1054.2,453,179,265,9,68,0.98,-1.0,-1.0,-2,-2.0,3.79,4.15,3.19,4.09
Jeff McNeil,2024,32,NYM,NL,128,117,103,1054.1,457,216,232,9,66,0.98,-1.0,-1.0,1,1.0,3.82,3.81,3.25,3.7
Will Smith,2024,29,LAD,NL,121,117,113,1051.1,1066,1000,58,8,3,0.992,6.0,7.0,-4,-5.0,9.06,9.06,8.74,8.94
Josh Rojas,2024,30,SEA,AL,141,116,88,1050.1,323,98,215,10,20,0.969,3.0,3.0,8,9.0,2.68,2.56,2.07,2.56
Jose Siri,2024,28,TBR,AL,128,116,110,1049.2,345,337,1,7,1,0.98,7.0,8.0,12,14.0,2.9,2.28,2.62,2.28
Ha-Seong Kim,2024,28,SDP,NL,121,119,115,1046.2,419,145,263,11,64,0.974,0.0,0.0,2,2.0,3.51,3.82,3.37,3.77
Kyle Isbel,2024,27,KCR,AL,136,119,100,1046.1,298,293,1,4,1,0.987,-8.0,-9.0,5,6.0,2.53,2.27,2.16,2.24
Mike Yastrzemski,2024,33,SFG,NL,134,120,94,1043.0,221,212,5,4,1,0.982,-6.0,-7.0,4,5.0,1.87,2.21,1.61,2.17
Brandon Marsh,2024,26,PHI,NL,133,115,84,1038.2,239,228,6,5,1,0.979,-4.0,-5.0,7,8.0,2.03,2.21,1.76,2.18
George Springer,2024,34,TOR,AL,124,120,109,1038.2,224,219,3,2,0,0.991,-5.0,-6.0,-1,-1.0,1.92,2.27,1.79,2.24
Gio Urshela,2024,32,2TM,2LG,126,117,107,1038.1,379,181,191,7,34,0.982,12.0,14.0,1,1.0,3.22,3.22,2.88,3.24
Gio Urshela,2024,32,DET,AL,90,81,73,716.1,278,159,114,5,19,0.982,1.0,2.0,-4,-7.0,3.43,3.52,2.97,3.51
Gio Urshela,2024,32,ATL,NL,36,36,34,322.0,101,22,77,2,15,0.98,11.0,40.0,5,19.0,2.77,2.55,2.68,2.55
Jo Adell,2024,25,LAA,AL,123,117,113,1035.2,241,234,3,4,0,0.983,6.0,7.0,6,7.0,2.06,2.27,1.93,2.24
Andrew Benintendi,2024,29,CHW,AL,125,118,114,1031.0,250,244,3,3,0,0.988,-3.0,-3.0,-13,-15.0,2.16,2.27,1.98,2.24
Harrison Bader,2024,30,NYM,NL,140,108,97,1025.1,283,278,1,4,0,0.986,14.0,17.0,-2,-2.0,2.45,2.21,1.99,2.18
Trea Turner,2024,31,PHI,NL,118,118,106,1018.2,444,136,291,17,51,0.962,-8.0,-10.0,-14,-16.0,3.77,3.82,3.62,3.77
Jared Triolo,2024,26,PIT,NL,119,114,102,1010.2,380,149,228,3,46,0.992,2.0,3.0,7,8.0,3.36,3.46,2.97,3.58
Aaron Judge,2024,32,NYY,AL,117,117,98,1010.0,283,279,4,0,2,1.0,2.0,2.0,-8,-10.0,2.52,2.27,2.42,2.24
Tyler Stephenson,2024,27,CIN,NL,127,112,107,1001.0,981,945,32,4,4,0.996,-1.0,-1.0,-8,-10.0,8.78,9.06,7.69,8.94
Jarred Kelenic,2024,24,ATL,NL,124,111,95,1000.0,238,231,4,3,0,0.987,1.0,1.0,-3,-4.0,2.12,2.21,1.9,2.18
Ernie Clement,2024,28,TOR,AL,134,109,97,999.1,370,117,240,13,39,0.965,11.0,13.0,15,18.0,3.22,2.89,2.5,2.82
Michael Toglia,2024,25,COL,NL,116,113,104,997.1,948,870,70,8,96,0.992,-7.0,-8.0,11,13.0,8.48,7.64,7.7,7.44
Dylan Moore,2024,31,SEA,AL,134,108,68,992.0,401,194,202,5,28,0.988,7.0,9.0,-4,-5.0,3.59,3.46,2.4,3.47
Steven Kwan,2024,26,CLE,AL,114,114,104,990.0,215,205,9,1,3,0.995,1.0,1.0,10,12.0,1.95,2.27,1.88,2.24
Nicky Lopez,2024,29,CHW,AL,122,111,100,985.0,437,161,272,4,57,0.991,-4.0,-4.0,-10,-12.0,3.96,3.88,3.38,3.82
Mauricio Dubón,2024,29,HOU,AL,133,107,72,984.1,363,270,85,8,19,0.978,12.0,15.0,6,7.0,3.25,3.12,2.37,3.3
Yainer Diaz,2024,25,HOU,AL,112,110,106,982.0,1037,991,41,5,13,0.995,-2.0,-3.0,-7,-9.0,9.46,9.04,9.13,8.92
Ryan Mountcastle,2024,27,BAL,AL,114,108,105,981.1,937,860,74,3,57,0.997,1.0,1.0,8,10.0,8.57,8.03,8.19,7.92
Jonah Heim,2024,29,TEX,AL,119,110,103,977.1,1011,967,37,7,5,0.993,-8.0,-10.0,5,6.0,9.25,9.16,8.44,9.03
Mookie Betts,2024,31,LAD,NL,115,115,89,974.1,359,176,171,12,33,0.967,0.0,0.0,2,2.0,3.21,3.3,2.75,3.27
Heliot Ramos,2024,24,SFG,NL,112,110,99,973.2,230,225,4,1,0,0.996,7.0,8.0,-9,-11.0,2.12,2.21,2.04,2.18
Keibert Ruiz,2024,25,WSN,NL,116,109,104,971.2,962,921,39,2,8,0.998,-3.0,-4.0,2,2.0,8.89,9.06,8.28,8.94
Pete Crow-Armstrong,2024,22,CHC,NL,117,109,102,965.2,317,306,8,3,0,0.991,3.0,3.0,11,14.0,2.93,2.21,2.68,2.18
Luke Raley,2024,29,SEA,AL,127,105,80,965.0,411,389,18,4,14,0.99,2.0,2.0,4,5.0,3.8,3.91,2.95,3.93
MJ Melendez,2024,25,KCR,AL,123,115,82,964.2,197,193,2,2,1,0.99,-8.0,-10.0,-7,-9.0,1.82,2.28,1.57,2.29
Connor Wong,2024,28,BOS,AL,116,106,92,964.0,928,873,49,6,8,0.994,-2.0,-3.0,-16,-20.0,8.61,8.97,7.26,8.61
Michael Harris II,2024,23,ATL,NL,110,109,106,960.2,235,232,1,2,0,0.991,5.0,6.0,11,14.0,2.18,2.21,2.12,2.18
Davis Schneider,2024,25,TOR,AL,133,106,69,960.2,294,202,90,2,16,0.993,5.0,6.0,-2,-2.0,2.74,2.85,1.96,2.87
Wilyer Abreu,2024,25,BOS,AL,130,110,70,960.1,238,222,9,7,2,0.971,15.0,19.0,16,20.0,2.16,2.27,1.78,2.24
Austin Riley,2024,27,ATL,NL,109,109,106,960.1,248,60,178,10,17,0.96,-2.0,-2.0,0,0.0,2.23,2.55,2.18,2.51
Lawrence Butler,2024,23,OAK,AL,123,105,94,959.1,259,253,2,4,1,0.985,-1.0,-2.0,-1,-1.0,2.39,2.27,2.07,2.24
Corey Seager,2024,30,TEX,AL,113,113,100,959.1,415,137,271,7,52,0.983,7.0,9.0,4,5.0,3.83,3.7,3.61,3.65
Yandy Díaz,2024,32,TBR,AL,112,110,95,956.1,838,784,45,9,67,0.989,-3.0,-3.0,-5,-6.0,7.8,8.03,7.4,7.92
Blake Perkins,2024,27,MIL,NL,119,104,95,956.1,308,300,7,1,2,0.997,9.0,12.0,8,10.0,2.89,2.21,2.58,2.18
Jake Burger,2024,28,MIA,NL,110,109,82,949.1,562,416,133,13,40,0.977,-15.0,-18.0,-6,-8.0,5.2,5.35,4.29,5.57
Otto López,2024,25,MIA,NL,114,106,97,949.1,470,181,281,8,55,0.983,0.0,0.0,8,10.0,4.38,4.05,3.88,3.96
Hunter Renfroe,2024,32,KCR,AL,116,105,96,934.2,212,201,9,2,3,0.991,0.0,0.0,-4,-5.0,2.02,2.28,1.79,2.29
Jesús Sánchez,2024,26,MIA,NL,119,105,85,934.1,233,226,3,4,2,0.983,-1.0,-2.0,-2,-3.0,2.21,2.21,1.92,2.18
Jordan Westburg,2024,25,BAL,AL,106,106,86,934.1,279,91,181,7,16,0.975,-9.0,-12.0,-10,-13.0,2.62,3.1,2.23,3.1
Andy Pages,2024,23,LAD,NL,114,101,78,933.2,302,294,5,3,2,0.99,7.0,9.0,-1,-1.0,2.88,2.21,2.62,2.18
Mickey Moniak,2024,26,LAA,AL,117,107,89,932.0,277,270,3,4,0,0.986,5.0,7.0,-4,-5.0,2.64,2.27,2.33,2.24
Ketel Marte,2024,30,ARI,NL,114,109,90,930.2,510,216,289,5,73,0.99,4.0,5.0,10,13.0,4.88,4.15,4.43,4.09
Wyatt Langford,2024,22,TEX,AL,109,109,81,927.2,218,208,8,2,1,0.991,6.0,7.0,14,18.0,2.1,2.27,1.98,2.24
Cody Bellinger,2024,28,CHC,NL,106,106,87,926.2,313,301,10,2,5,0.994,-3.0,-4.0,0,0.0,3.02,3.08,2.68,3.32
Jorge Polanco,2024,30,SEA,AL,112,109,92,925.1,367,138,222,7,45,0.981,-5.0,-7.0,-1,-1.0,3.5,3.97,3.21,3.91
Riley Greene,2024,23,DET,AL,106,104,88,915.0,210,203,4,3,1,0.986,-5.0,-6.0,14,18.0,2.04,2.27,1.95,2.24
Patrick Bailey,2024,25,SFG,NL,115,101,98,908.0,962,904,55,3,7,0.997,6.0,8.0,20,26.0,9.51,9.06,8.34,8.94
Rowdy Tellez,2024,29,PIT,NL,125,105,72,908.0,803,740,61,2,76,0.998,1.0,1.0,-3,-4.0,7.94,8.27,6.31,8.02
Miguel Amaya,2024,25,CHC,NL,116,103,88,905.2,893,856,31,6,3,0.993,1.0,1.0,5,7.0,8.81,9.06,7.65,8.94
Mark Vientos,2024,24,NYM,NL,110,105,78,905.1,264,79,180,5,16,0.981,1.0,2.0,-5,-7.0,2.57,2.71,2.31,2.71
Johan Rojas,2024,23,PHI,NL,116,103,82,903.1,227,219,6,2,1,0.991,-13.0,-17.0,4,5.0,2.24,2.21,1.94,2.18
Bo Naylor,2024,24,CLE,AL,115,101,83,899.1,936,894,36,6,4,0.994,3.0,4.0,11,15.0,9.31,9.16,8.09,9.03
J.P. Crawford,2024,29,SEA,AL,104,103,96,894.2,328,113,212,3,36,0.991,13.0,18.0,9,12.0,3.27,3.7,3.13,3.65
Vinnie Pasquantino,2024,26,KCR,AL,103,103,92,893.0,878,805,71,2,76,0.998,4.0,6.0,-3,-4.0,8.83,8.03,8.5,7.92
Tommy Pham,2024,36,3TM,2LG,105,100,81,888.0,205,201,3,1,0,0.995,-8.0,-11.0,-10,-14.0,2.07,2.26,1.94,2.23
Tommy Pham,2024,36,2TM,AL,83,83,66,730.1,180,176,3,1,0,0.994,-4.0,-6.0,-7,-12.0,2.21,2.27,2.16,2.24
Tommy Pham,2024,36,CHW,AL,65,65,51,570.1,144,142,1,1,0,0.993,-6.0,-13.0,-11,-23.0,2.26,2.27,2.2,2.24
Tommy Pham,2024,36,STL,NL,22,17,15,157.2,25,25,0,0,0,1.0,-5.0,-34.0,-3,-23.0,1.43,2.21,1.14,2.18
Tommy Pham,2024,36,KCR,AL,18,18,15,160.0,36,34,2,0,0,1.0,3.0,19.0,4,30.0,2.03,2.27,2.0,2.24
Xander Bogaerts,2024,31,SDP,NL,101,101,90,887.2,383,147,227,9,48,0.977,-5.0,-6.0,-1,-1.0,3.79,4.09,3.56,4.03
Will Benson,2024,26,CIN,NL,118,102,52,884.0,233,226,5,2,0,0.991,-5.0,-7.0,-6,-8.0,2.35,2.21,1.96,2.18
Adley Rutschman,2024,26,BAL,AL,103,99,97,882.1,915,874,37,4,4,0.996,1.0,1.0,4,5.0,9.29,9.16,8.84,9.03
Kiké Hernández,2024,32,LAD,NL,123,93,67,881.0,302,154,138,10,25,0.967,2.0,3.0,5,7.0,2.98,3.29,2.13,3.36
Michael Siani,2024,24,STL,NL,121,98,70,877.1,243,242,1,0,0,1.0,12.0,16.0,9,12.0,2.49,2.21,2.01,2.18
Ozzie Albies,2024,27,ATL,NL,99,99,98,875.2,395,153,239,3,57,0.992,1.0,1.0,1,1.0,4.03,4.15,3.96,4.09
Nolan Gorman,2024,24,STL,NL,106,97,93,874.1,400,147,243,10,68,0.975,-6.0,-9.0,-4,-5.0,4.01,4.15,3.64,4.06
Manny Machado,2024,31,SDP,NL,100,100,94,873.2,232,78,147,7,11,0.97,-3.0,-5.0,2,3.0,2.32,2.55,2.25,2.51
Austin Wells,2024,24,NYY,AL,110,96,85,872.1,936,892,33,11,5,0.988,5.0,7.0,11,15.0,9.54,9.16,8.41,9.03
Luis Arráez,2024,27,2TM,NL,100,100,81,872.0,644,508,127,9,59,0.986,0.0,0.0,-6,-8.0,6.55,6.68,5.72,6.63
Luis Arráez,2024,27,MIA,NL,33,33,21,290.0,142,61,77,4,22,0.972,-2.0,-7.0,-3,-12.0,4.28,4.28,3.37,4.89
