rank,player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
371,Brendon Little*,,27,TOR,AL,0.1,1,2,0.333,3.74,49,0,7,0,0,1,45.2,41,21,19,7,19,2,36,1,0,5,193,110,4.9,1.314,8.1,1.4,3.7,7.1,1.89
372,Shawn Dubin,,28,HOU,AL,-0.1,1,1,0.5,4.17,31,2,11,0,0,2,45.1,45,25,21,3,26,0,49,2,0,1,207,96,3.72,1.566,8.9,0.6,5.2,9.7,1.88
373,Pete Fairbanks,,30,TBR,AL,0.8,3,3,0.5,3.57,46,0,36,0,0,23,45.1,36,20,18,4,17,2,44,0,1,2,185,112,3.5,1.169,7.1,0.8,3.4,8.7,2.59
374,Brant Hurter*,,25,DET,AL,1.2,6,1,0.857,2.58,10,1,1,0,0,0,45.1,34,13,13,4,6,0,38,0,1,0,175,159,3.03,0.882,6.8,0.8,1.2,7.5,6.33
375,Yohan Ramírez,,29,4TM,2LG,-1,0,5,0,6.2,38,0,11,0,0,1,45,49,35,31,4,17,2,45,12,1,8,208,66,4.25,1.467,9.8,0.8,3.4,9,2.65
375,Yohan Ramírez,,29,2TM,NL,-0.8,0,5,0,5.97,32,0,9,0,0,1,37.2,43,28,25,4,15,2,38,7,1,4,175,67,4.28,1.54,10.3,1,3.6,9.1,2.53
375,Yohan Ramírez,,29,2TM,AL,-0.2,0,0,,7.36,6,0,2,0,0,0,7.1,6,7,6,0,2,0,7,5,0,4,33,58,4.12,1.091,7.4,0,2.5,8.6,3.5
375,Yohan Ramírez,,29,NYM,NL,-0.2,0,1,0,7.56,5,0,1,0,0,0,8.1,11,7,7,1,4,1,11,0,1,3,41,53,3.53,1.8,11.9,1.1,4.3,11.9,2.75
375,Yohan Ramírez,,29,BAL,AL,-0.1,0,0,,6,5,0,2,0,0,0,6,3,4,4,0,2,0,6,3,0,3,24,68,3.67,0.833,4.5,0,3,9,3
375,Yohan Ramírez,,29,LAD,NL,-0.6,0,4,0,5.52,27,0,8,0,0,1,29.1,32,21,18,3,11,1,27,7,0,1,134,73,4.5,1.466,9.8,0.9,3.4,8.3,2.45
375,Yohan Ramírez,,29,BOS,AL,-0.2,0,0,,13.5,1,0,0,0,0,0,1.1,3,3,2,0,0,0,1,2,0,1,9,39,6.17,2.25,20.3,0,0,6.8,
376,Chris Martin,,38,BOS,AL,0.2,3,1,0.75,3.45,45,0,9,0,0,2,44.1,47,22,17,5,3,1,50,3,0,2,180,122,2.78,1.128,9.5,1,0.6,10.2,16.67
