player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
James McCann,2022,32,NYM,NL,-0.1,61,191,174,19,34,6,0,3,18,3,0,11,46,0.195,0.257,0.282,0.538,55.0,0.256,58.0,49,5,4,0,2,0
Stephen Vogt*,2022,37,OAK,AL,-0.6,70,191,168,18,27,4,1,7,23,1,0,17,46,0.161,0.241,0.321,0.562,64.0,0.256,64.0,54,4,2,0,4,0
Edmundo Sosa,2022,26,2TM,NL,1.4,78,190,176,26,40,11,4,2,21,6,1,5,50,0.227,0.275,0.369,0.644,82.0,0.297,85.0,65,6,7,1,1,0
Edmundo Sosa,2022,26,STL,NL,0.6,53,131,122,17,23,4,3,0,8,3,1,4,38,0.189,0.244,0.27,0.515,48.0,0.251,54.0,33,3,5,0,0,0
Edmundo Sosa,2022,26,PHI,NL,0.8,25,59,54,9,17,7,1,2,13,3,0,1,12,0.315,0.345,0.593,0.937,160.0,0.401,153.0,32,3,2,1,1,0
Yu Chang,2022,26,4TM,2LG,0.3,69,190,168,19,35,6,0,4,15,0,1,16,59,0.208,0.289,0.315,0.605,75.0,0.269,71.0,53,5,4,0,2,0
Yu Chang,2022,26,3TM,AL,0.4,51,141,126,14,28,5,0,3,13,0,0,12,41,0.222,0.291,0.333,0.624,81.0,0.276,75.0,42,4,1,0,2,0
Yu Chang,2022,26,CLE,AL,-0.3,4,10,10,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100.0,0.0,-125.0,0,0,0,0,0,0
Yu Chang,2022,26,PIT,NL,-0.2,18,49,42,5,7,1,0,1,2,0,1,4,18,0.167,0.286,0.262,0.548,58.0,0.25,60.0,11,1,3,0,0,0
Yu Chang,2022,26,TBR,AL,0.6,36,105,96,11,25,3,0,3,12,0,0,7,27,0.26,0.305,0.385,0.69,100.0,0.299,94.0,37,3,0,0,2,0
Yu Chang,2022,26,BOS,AL,0.0,11,26,20,3,3,2,0,0,1,0,0,5,7,0.15,0.346,0.25,0.596,70.0,0.291,77.0,5,1,1,0,0,0
Jonah Bride,2022,26,OAK,AL,0.1,58,187,162,17,33,4,0,1,6,1,0,19,32,0.204,0.301,0.247,0.548,65.0,0.261,68.0,40,4,4,1,1,0
Kevin Plawecki,2022,31,2TM,AL,-1.2,63,186,168,15,37,8,0,1,13,0,0,14,32,0.22,0.286,0.286,0.572,60.0,0.259,54.0,48,6,2,1,1,0
Kevin Plawecki,2022,31,BOS,AL,-1.1,60,175,157,15,34,8,0,1,12,0,0,14,28,0.217,0.287,0.287,0.574,61.0,0.26,54.0,45,5,2,1,1,0
Kevin Plawecki,2022,31,TEX,AL,-0.1,3,11,11,0,3,0,0,0,1,0,0,0,4,0.273,0.273,0.273,0.545,56.0,0.245,49.0,3,1,0,0,0,0
Elehuris Montero,2022,23,COL,NL,0.1,53,185,176,21,41,15,1,6,20,0,0,8,60,0.233,0.27,0.432,0.702,85.0,0.307,82.0,76,4,1,0,0,0
Zach McKinstry*,2022,27,2TM,NL,0.4,57,185,166,21,33,6,3,5,14,7,0,16,52,0.199,0.273,0.361,0.635,76.0,0.29,71.0,60,0,1,2,0,0
Zach McKinstry*,2022,27,LAD,NL,0.0,10,14,11,4,1,0,0,1,2,0,0,3,4,0.091,0.286,0.364,0.649,81.0,0.295,82.0,4,0,0,0,0,0
Zach McKinstry*,2022,27,CHC,NL,0.4,47,171,155,17,32,6,3,4,12,7,0,13,48,0.206,0.272,0.361,0.633,75.0,0.29,70.0,56,0,1,2,0,0
Jed Lowrie#,2022,38,OAK,AL,-1.2,50,184,167,14,30,5,0,3,16,1,0,15,39,0.18,0.245,0.263,0.508,50.0,0.232,47.0,44,5,0,0,2,0
Tyler Nevin,2022,25,BAL,AL,-0.5,58,184,157,17,31,4,0,2,16,0,0,20,46,0.197,0.299,0.261,0.56,64.0,0.276,75.0,41,4,4,0,3,0
Jake Burger,2022,26,CHW,AL,0.0,51,183,168,20,42,9,1,8,26,0,0,10,56,0.25,0.302,0.458,0.761,113.0,0.323,105.0,77,7,3,1,1,1
Tyler Stephenson,2022,25,CIN,NL,1.6,50,183,166,24,53,9,0,6,35,1,0,12,47,0.319,0.372,0.482,0.854,133.0,0.377,136.0,80,4,3,0,2,0
Nick Pratto*,2022,23,KCR,AL,-0.3,49,182,158,18,29,9,1,7,20,0,0,19,66,0.184,0.271,0.386,0.657,84.0,0.292,82.0,61,6,1,1,3,0
Kris Bryant,2022,30,COL,NL,0.7,42,181,160,28,49,12,0,5,14,0,0,17,27,0.306,0.376,0.475,0.851,128.0,0.375,131.0,76,7,2,0,2,0
Jarred Kelenic*,2022,22,SEA,AL,-0.3,54,181,163,20,23,5,1,7,17,5,2,16,61,0.141,0.221,0.313,0.534,55.0,0.242,53.0,51,3,1,0,1,0
Bubba Thompson,2022,24,TEX,AL,0.0,55,181,170,18,45,5,0,1,9,18,3,7,56,0.265,0.302,0.312,0.613,76.0,0.288,68.0,53,2,2,2,0,0
David Villar,2022,25,SFG,NL,1.3,52,181,156,21,36,6,1,9,24,0,1,18,58,0.231,0.331,0.455,0.787,122.0,0.35,127.0,71,4,6,0,1,0
Trevor Larnach*,2022,25,MIN,AL,1.4,51,180,160,22,37,13,0,5,18,0,0,18,57,0.231,0.306,0.406,0.712,102.0,0.309,97.0,65,1,0,0,2,1
Ernie Clement,2022,26,2TM,AL,-0.7,69,179,163,19,30,4,0,0,6,0,1,11,26,0.184,0.243,0.209,0.452,33.0,0.22,37.0,34,3,2,2,1,0
Ernie Clement,2022,26,CLE,AL,-0.4,63,161,145,18,29,3,0,0,6,0,1,11,24,0.2,0.264,0.221,0.485,43.0,0.232,45.0,32,3,2,2,1,0
Ernie Clement,2022,26,OAK,AL,-0.3,6,18,18,1,1,1,0,0,0,0,0,0,2,0.056,0.056,0.111,0.167,-52.0,0.12,-33.0,2,0,0,0,0,0
Jake Cave*,2022,29,MIN,AL,0.3,54,177,164,17,35,7,3,5,20,2,0,11,49,0.213,0.26,0.384,0.644,82.0,0.3,89.0,63,2,0,0,2,0
Tucupita Marcano*,2022,22,PIT,NL,-0.7,49,177,160,18,33,6,2,2,13,2,1,10,44,0.206,0.256,0.306,0.562,59.0,0.246,49.0,49,1,1,5,1,0
Rob Refsnyder,2022,31,BOS,AL,1.2,57,177,153,25,47,11,0,6,21,1,1,15,46,0.307,0.384,0.497,0.881,143.0,0.385,146.0,76,1,6,0,3,0
Austin Wynns,2022,31,SFG,NL,0.4,65,177,162,14,42,7,0,3,21,0,0,10,38,0.259,0.313,0.358,0.671,91.0,0.308,95.0,58,9,3,1,1,0
Curt Casali,2022,33,2TM,2LG,1.4,57,176,148,20,30,4,0,5,17,0,0,24,50,0.203,0.318,0.331,0.649,88.0,0.306,96.0,49,1,2,0,2,0
Curt Casali,2022,33,SFG,NL,1.2,41,126,108,13,25,3,0,4,14,0,0,15,36,0.231,0.325,0.37,0.696,98.0,0.318,103.0,40,1,1,0,2,0
Curt Casali,2022,33,SEA,AL,0.2,16,50,40,7,5,1,0,1,3,0,0,9,14,0.125,0.3,0.225,0.525,58.0,0.277,79.0,9,0,1,0,0,0
Jose Barrero,2022,24,CIN,NL,-1.6,48,174,165,13,25,3,0,2,10,4,1,9,76,0.152,0.195,0.206,0.401,11.0,0.186,-2.0,34,4,0,0,0,0
Lewin Díaz*,2022,25,MIA,NL,-0.5,58,174,160,12,27,4,0,5,11,1,0,11,54,0.169,0.224,0.288,0.512,44.0,0.234,39.0,46,3,1,0,2,0
Edward Olivares,2022,26,KCR,AL,0.1,53,174,161,24,46,8,0,4,15,2,3,10,36,0.286,0.333,0.41,0.743,110.0,0.324,109.0,66,1,2,0,1,0
Tyler Heineman#,2022,31,2TM,2LG,0.2,62,174,157,16,34,8,0,0,9,1,0,8,17,0.217,0.276,0.268,0.544,56.0,0.249,50.0,42,3,5,4,0,0
Tyler Heineman#,2022,31,TOR,AL,0.1,10,16,15,2,4,2,0,0,1,0,0,0,4,0.267,0.267,0.4,0.667,89.0,0.288,82.0,6,1,0,1,0,0
Tyler Heineman#,2022,31,PIT,NL,0.1,52,158,142,14,30,6,0,0,8,1,0,8,13,0.211,0.277,0.254,0.531,53.0,0.245,47.0,36,2,5,3,0,0
Ryan McKenna,2022,25,BAL,AL,0.4,104,172,156,23,37,10,0,2,11,2,1,11,55,0.237,0.294,0.34,0.634,83.0,0.287,82.0,53,3,2,2,1,1
Oswaldo Cabrera#,2022,23,NYY,AL,1.7,44,171,154,21,38,8,1,6,19,3,2,15,44,0.247,0.312,0.429,0.74,108.0,0.325,108.0,66,1,0,1,1,0
Nomar Mazara*,2022,27,SDP,NL,0.0,55,171,159,16,42,8,0,2,18,0,0,10,40,0.264,0.316,0.352,0.668,94.0,0.304,97.0,56,3,2,0,0,0
Charles Leblanc,2022,26,MIA,NL,0.7,48,169,156,18,41,10,0,4,11,4,2,12,53,0.263,0.32,0.404,0.723,103.0,0.328,108.0,63,0,1,0,0,0
Jason Delay,2022,27,PIT,NL,-0.4,57,167,155,17,33,6,0,1,11,0,2,9,50,0.213,0.265,0.271,0.536,53.0,0.242,51.0,42,4,2,1,0,0
Johan Camargo#,2022,28,PHI,NL,0.1,52,166,152,8,36,3,0,3,15,0,0,13,37,0.237,0.297,0.316,0.613,75.0,0.275,71.0,48,1,0,1,0,0
Luis Torrens,2022,26,SEA,AL,0.1,55,166,151,13,34,2,0,3,15,0,0,12,50,0.225,0.283,0.298,0.581,71.0,0.268,73.0,45,5,1,0,2,0
Tyler Wade*,2022,27,LAA,AL,-0.7,67,163,147,22,32,5,0,1,8,8,5,10,33,0.218,0.272,0.272,0.544,55.0,0.245,49.0,40,3,1,5,0,0
Vidal Bruján#,2022,24,TBR,AL,-0.6,52,162,147,13,24,5,0,3,16,5,5,12,37,0.163,0.228,0.259,0.487,42.0,0.218,41.0,38,2,1,0,2,0
Kyle Garlick,2022,30,MIN,AL,0.3,66,162,150,23,35,3,0,9,18,0,0,8,48,0.233,0.284,0.433,0.717,102.0,0.334,116.0,65,2,3,0,1,0
Mike Brosseau,2022,28,MIL,NL,0.4,69,160,141,15,36,5,0,6,23,2,0,14,48,0.255,0.344,0.418,0.762,115.0,0.35,121.0,59,0,5,0,0,0
Jake Meyers,2022,26,HOU,AL,0.6,52,160,150,13,34,6,2,1,15,2,1,7,54,0.227,0.269,0.313,0.582,67.0,0.268,68.0,47,1,2,0,1,0
Hanser Alberto,2022,29,LAD,NL,0.0,73,159,156,13,38,9,2,2,15,0,1,3,25,0.244,0.258,0.365,0.623,73.0,0.282,75.0,57,7,0,0,0,0
Kurt Suzuki,2022,38,LAA,AL,-0.4,51,159,139,10,25,4,0,4,15,0,0,15,29,0.18,0.266,0.295,0.561,59.0,0.26,58.0,41,3,2,1,2,0
Lorenzo Cain,2022,36,MIL,NL,-0.4,43,156,145,17,26,5,0,1,9,2,2,8,36,0.179,0.231,0.234,0.465,32.0,0.221,34.0,34,4,2,0,1,0
Vaughn Grissom,2022,21,ATL,NL,0.8,41,156,141,24,41,6,0,5,18,5,2,11,34,0.291,0.353,0.44,0.792,119.0,0.345,115.0,62,0,3,0,1,1
Alex Kirilloff*,2022,24,MIN,AL,-0.4,45,156,144,14,36,7,0,3,21,0,0,5,36,0.25,0.29,0.361,0.651,86.0,0.297,88.0,52,5,4,0,2,0
Alejo López#,2022,26,CIN,NL,-0.3,59,156,145,15,38,5,1,1,10,3,1,9,21,0.262,0.314,0.331,0.645,78.0,0.287,71.0,48,1,2,0,0,1
Riley Adams,2022,26,WSN,NL,0.0,48,155,142,14,25,4,0,5,10,0,1,12,46,0.176,0.245,0.31,0.555,59.0,0.257,64.0,44,2,1,0,0,0
Matt Carpenter*,2022,36,NYY,AL,2.4,47,154,128,28,39,9,0,15,37,0,0,19,35,0.305,0.412,0.727,1.138,216.0,0.476,218.0,93,2,5,1,1,1
Shea Langeliers,2022,24,OAK,AL,0.2,40,153,142,14,31,10,1,6,22,0,0,9,53,0.218,0.261,0.43,0.691,99.0,0.295,93.0,61,4,0,0,2,0
Dominic Smith*,2022,27,NYM,NL,-0.4,58,152,134,11,26,10,1,0,17,0,0,12,37,0.194,0.276,0.284,0.56,62.0,0.261,64.0,38,0,4,0,2,0
Jason Heyward*,2022,32,CHC,NL,-0.6,48,151,137,15,28,5,1,1,10,1,0,11,32,0.204,0.278,0.277,0.556,56.0,0.259,54.0,38,3,3,0,0,0
Kevin Smith,2022,25,OAK,AL,0.4,47,151,139,9,25,9,1,2,13,4,0,7,42,0.18,0.216,0.302,0.518,51.0,0.246,52.0,42,5,0,3,2,0
Mike Ford*,2022,29,4TM,2LG,-0.3,50,149,131,9,27,5,0,3,10,0,0,17,40,0.206,0.302,0.313,0.615,77.0,0.28,75.0,41,1,1,0,0,0
Mike Ford*,2022,29,2TM,AL,-0.1,44,137,120,9,26,5,0,3,8,0,0,16,38,0.217,0.314,0.333,0.647,86.0,0.293,85.0,40,1,1,0,0,0
Mike Ford*,2022,29,2TM,NL,-0.2,6,12,11,0,1,0,0,0,2,0,0,1,2,0.091,0.167,0.091,0.258,-25.0,0.133,-35.0,1,0,0,0,0,0
Mike Ford*,2022,29,SFG,NL,0.0,1,4,4,0,1,0,0,0,2,0,0,0,0,0.25,0.25,0.25,0.5,44.0,0.225,36.0,1,0,0,0,0,0
Mike Ford*,2022,29,SEA,AL,-0.1,16,38,29,1,5,1,0,0,3,0,0,8,12,0.172,0.368,0.207,0.575,76.0,0.289,88.0,6,0,1,0,0,0
Mike Ford*,2022,29,ATL,NL,-0.2,5,8,7,0,0,0,0,0,0,0,0,1,2,0.0,0.125,0.0,0.125,-61.0,0.087,-70.0,0,0,0,0,0,0
Mike Ford*,2022,29,LAA,AL,-0.1,28,99,91,8,21,4,0,3,5,0,0,8,26,0.231,0.293,0.374,0.667,88.0,0.295,84.0,34,1,0,0,0,0
Austin Meadows*,2022,27,DET,AL,0.6,36,147,128,9,32,6,2,0,11,0,1,16,17,0.25,0.347,0.328,0.675,97.0,0.31,101.0,42,2,3,0,0,0
Ryan O'Hearn*,2022,28,KCR,AL,-0.5,67,145,134,14,32,6,1,1,16,0,0,8,35,0.239,0.29,0.321,0.611,73.0,0.273,68.0,43,2,2,0,1,0
Darick Hall*,2022,26,PHI,NL,0.4,41,142,136,19,34,8,1,9,16,0,0,5,44,0.25,0.282,0.522,0.804,122.0,0.338,116.0,71,3,1,0,0,0
Miguel Andujar,2022,27,2TM,2LG,0.1,36,140,132,13,31,5,1,1,17,4,1,5,27,0.235,0.257,0.311,0.568,61.0,0.276,69.0,41,1,0,0,3,0
Miguel Andujar,2022,27,NYY,AL,0.2,27,100,96,9,22,2,0,1,8,4,0,3,22,0.229,0.25,0.281,0.531,51.0,0.279,67.0,27,0,0,0,1,0
Miguel Andujar,2022,27,PIT,NL,-0.1,9,40,36,4,9,3,1,0,9,0,1,2,5,0.25,0.275,0.389,0.664,86.0,0.268,75.0,14,1,0,0,2,0
Stephen Piscotty,2022,31,OAK,AL,-0.7,42,139,126,12,24,4,0,5,14,2,0,9,48,0.19,0.252,0.341,0.593,73.0,0.262,66.0,43,2,2,0,2,1
Luke Williams,2022,25,2TM,NL,-0.2,79,136,127,21,30,5,1,1,6,11,4,9,44,0.236,0.287,0.315,0.602,71.0,0.275,66.0,40,1,0,0,0,1
Luke Williams,2022,25,SFG,NL,0.0,8,12,12,1,3,1,0,0,3,0,0,0,4,0.25,0.25,0.333,0.583,65.0,0.246,51.0,4,0,0,0,0,0
Luke Williams,2022,25,MIA,NL,-0.2,71,124,115,20,27,4,1,1,3,11,4,9,40,0.235,0.29,0.313,0.603,71.0,0.278,68.0,36,1,0,0,0,1
Austin Romine,2022,33,3TM,2LG,-0.7,51,136,129,10,20,3,0,3,9,0,0,4,46,0.155,0.187,0.248,0.435,20.0,0.207,15.0,32,2,1,2,0,0
Austin Romine,2022,33,2TM,NL,-0.7,48,127,121,10,18,3,0,3,9,0,0,4,43,0.149,0.183,0.248,0.43,18.0,0.206,15.0,30,2,1,1,0,0
Austin Romine,2022,33,LAA,AL,0.0,3,9,8,0,2,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,43.0,0.225,25.0,2,0,0,1,0,0
Austin Romine,2022,33,STL,NL,-0.2,11,28,26,2,4,1,0,0,0,0,0,2,7,0.154,0.214,0.192,0.407,18.0,0.22,33.0,5,0,0,0,0,0
Austin Romine,2022,33,CIN,NL,-0.5,37,99,95,8,14,2,0,3,9,0,0,2,36,0.147,0.173,0.263,0.437,18.0,0.202,10.0,25,2,1,1,0,0
Greg Allen#,2022,29,PIT,NL,0.1,46,134,118,17,22,4,0,2,8,8,2,10,42,0.186,0.26,0.271,0.531,51.0,0.254,50.0,32,2,2,3,1,0
Gunnar Henderson*,2022,21,BAL,AL,1.0,34,132,116,12,30,7,1,4,18,1,1,16,34,0.259,0.348,0.44,0.788,126.0,0.348,128.0,51,1,0,0,0,1
Sam Huff,2022,24,TEX,AL,0.3,44,132,121,9,29,4,0,4,10,1,0,11,42,0.24,0.303,0.372,0.675,91.0,0.31,95.0,45,1,0,0,0,1
Michael Pérez*,2022,29,2TM,NL,0.0,45,132,121,10,18,0,0,6,14,1,0,10,32,0.149,0.214,0.298,0.511,44.0,0.231,38.0,36,2,0,1,0,0
Michael Pérez*,2022,29,PIT,NL,-0.2,39,116,107,8,16,0,0,6,11,1,0,8,26,0.15,0.209,0.318,0.526,47.0,0.235,40.0,34,2,0,1,0,0
Michael Pérez*,2022,29,NYM,NL,0.2,6,16,14,2,2,0,0,0,3,0,0,2,6,0.143,0.25,0.143,0.393,18.0,0.199,20.0,2,0,0,0,0,0
Alcides Escobar,2022,35,WSN,NL,-0.5,40,131,124,12,27,4,2,0,8,1,1,5,32,0.218,0.26,0.282,0.542,57.0,0.247,56.0,35,1,2,0,0,0
Alex Call,2022,27,2TM,2LG,0.4,47,131,114,18,27,3,1,5,13,3,3,15,30,0.237,0.336,0.412,0.748,115.0,0.325,115.0,47,2,2,0,0,0
Alex Call,2022,27,CLE,AL,0.1,12,16,12,2,2,0,0,0,0,0,0,4,4,0.167,0.375,0.167,0.542,65.0,0.278,77.0,2,0,0,0,0,0
Alex Call,2022,27,WSN,NL,0.3,35,115,102,16,25,3,1,5,13,3,3,11,26,0.245,0.33,0.441,0.772,121.0,0.331,120.0,45,2,2,0,0,0
Andy Ibáñez,2022,29,TEX,AL,-0.1,40,128,119,13,26,4,0,1,9,3,0,9,21,0.218,0.273,0.277,0.551,58.0,0.254,51.0,33,0,0,0,0,0
Colin Moran*,2022,29,CIN,NL,-0.3,42,128,109,11,23,3,0,5,23,0,0,16,30,0.211,0.305,0.376,0.681,86.0,0.301,82.0,41,4,0,0,3,0
Óscar Mercado,2022,27,2TM,2LG,-0.2,55,128,121,17,25,6,1,4,16,2,2,5,29,0.207,0.242,0.372,0.614,75.0,0.276,78.0,45,8,1,0,1,0
Óscar Mercado,2022,27,CLE,AL,-0.2,54,127,120,17,25,6,1,4,16,2,2,5,28,0.208,0.244,0.375,0.619,76.0,0.279,80.0,45,8,1,0,1,0
Óscar Mercado,2022,27,PHI,NL,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,-136.0,0,0,0,0,0,0
David Bote,2022,29,CHC,NL,0.8,41,127,116,15,30,8,0,4,12,1,0,6,45,0.259,0.315,0.431,0.746,106.0,0.326,102.0,50,3,4,0,1,0
Kody Clemens*,2022,26,DET,AL,-0.2,56,127,117,13,17,4,0,5,17,1,0,8,33,0.145,0.197,0.308,0.505,43.0,0.222,34.0,36,1,0,0,2,0
Seth Beer*,2022,25,ARI,NL,-1.0,38,126,111,4,21,3,0,1,9,0,0,11,31,0.189,0.278,0.243,0.521,50.0,0.239,45.0,27,3,3,0,1,1
Dérmis Garcia,2022,24,OAK,AL,0.5,39,125,116,13,24,6,0,5,20,0,0,8,55,0.207,0.264,0.388,0.652,89.0,0.297,95.0,45,1,1,0,0,0
Alan Trejo,2022,26,COL,NL,0.2,35,125,118,15,32,6,0,4,17,1,2,5,31,0.271,0.312,0.424,0.736,96.0,0.324,99.0,50,3,2,0,0,0
Charlie Culberson,2022,33,TEX,AL,0.0,68,124,115,19,29,6,0,2,12,2,3,5,31,0.252,0.283,0.357,0.64,81.0,0.278,78.0,41,5,0,4,0,0
José Herrera#,2022,25,ARI,NL,-0.3,47,124,111,9,21,2,0,0,5,0,0,9,34,0.189,0.25,0.207,0.457,32.0,0.214,24.0,23,1,0,4,0,0
Bligh Madris*,2022,26,PIT,NL,-1.0,39,123,113,10,20,7,0,1,7,2,1,10,31,0.177,0.244,0.265,0.509,45.0,0.231,40.0,30,0,0,0,0,0
Richie Palacios*,2022,25,CLE,AL,-0.2,54,123,112,7,26,6,0,0,10,2,0,9,20,0.232,0.293,0.286,0.578,69.0,0.261,61.0,32,2,1,0,1,1
Mike Zunino,2022,31,TBR,AL,-0.8,36,123,115,7,17,3,0,5,16,0,0,6,46,0.148,0.195,0.304,0.499,43.0,0.218,36.0,35,2,1,0,1,0
Nate Eaton,2022,25,KCR,AL,0.9,44,122,106,16,28,4,3,1,12,11,1,10,30,0.264,0.331,0.387,0.717,103.0,0.333,98.0,41,2,2,1,3,0
Garrett Stubbs*,2022,29,PHI,NL,1.1,46,121,106,19,28,4,1,5,16,2,0,14,30,0.264,0.35,0.462,0.812,129.0,0.36,129.0,49,2,0,1,0,0
Michael Toglia#,2022,23,COL,NL,-0.1,31,120,111,10,24,8,2,2,12,1,1,9,44,0.216,0.275,0.378,0.653,74.0,0.304,82.0,42,2,0,0,0,0
Taylor Trammell*,2022,24,SEA,AL,0.3,43,117,102,15,20,9,0,4,10,2,1,13,33,0.196,0.284,0.402,0.686,99.0,0.299,95.0,41,2,0,1,1,0
Eli White,2022,28,TEX,AL,0.9,47,117,105,16,21,2,0,3,10,12,1,11,41,0.2,0.274,0.305,0.578,65.0,0.295,70.0,32,0,0,0,1,0
Bradley Zimmer*,2022,29,2TM,2LG,0.1,109,117,105,18,13,5,0,2,5,3,2,5,45,0.124,0.207,0.229,0.435,25.0,0.206,24.0,24,0,6,1,0,0
Bradley Zimmer*,2022,29,TOR,AL,-0.2,100,101,89,14,9,4,0,2,5,3,2,5,41,0.101,0.2,0.213,0.413,20.0,0.2,20.0,19,0,6,1,0,0
Bradley Zimmer*,2022,29,PHI,NL,0.3,9,16,16,4,4,1,0,0,0,0,0,0,4,0.25,0.25,0.313,0.563,59.0,0.241,46.0,5,0,0,0,0,0
Skye Bolt#,2022,28,OAK,AL,-0.2,42,116,106,10,21,2,0,4,13,5,0,7,30,0.198,0.259,0.33,0.589,72.0,0.271,68.0,35,1,2,0,1,0
Corbin Carroll*,2022,21,ARI,NL,1.3,32,115,104,13,27,9,2,4,14,2,1,8,31,0.26,0.33,0.5,0.83,132.0,0.362,134.0,52,1,3,0,0,0
Aramis Garcia,2022,29,CIN,NL,-0.8,47,115,108,6,23,2,0,1,4,0,1,3,34,0.213,0.248,0.259,0.507,40.0,0.221,26.0,28,4,2,2,0,0
Kerry Carpenter*,2022,24,DET,AL,0.3,31,113,103,16,26,4,1,6,10,0,0,6,32,0.252,0.31,0.485,0.795,125.0,0.343,123.0,50,0,3,0,1,0
Mickey Moniak*,2022,24,2TM,2LG,-0.9,37,112,106,13,18,3,1,3,8,1,0,4,44,0.17,0.207,0.302,0.509,42.0,0.224,30.0,32,0,1,1,0,0
Mickey Moniak*,2022,24,PHI,NL,-0.5,18,50,46,4,6,1,0,0,2,0,0,3,19,0.13,0.184,0.152,0.336,-3.0,0.156,-17.0,7,0,0,1,0,0
Mickey Moniak*,2022,24,LAA,AL,-0.4,19,62,60,9,12,2,1,3,6,1,0,1,25,0.2,0.226,0.417,0.642,77.0,0.277,68.0,25,0,1,0,0,0
Jason Vosler*,2022,28,SFG,NL,0.1,36,111,98,14,26,6,1,4,12,1,1,10,29,0.265,0.342,0.469,0.812,129.0,0.355,131.0,46,3,2,0,1,1
Jake Lamb*,2022,31,2TM,2LG,-0.2,41,111,97,13,21,6,1,3,6,0,1,11,38,0.216,0.315,0.392,0.707,100.0,0.318,105.0,38,4,3,0,0,0
Jake Lamb*,2022,31,LAD,NL,0.2,25,77,67,10,16,5,1,2,4,0,1,8,24,0.239,0.338,0.433,0.77,115.0,0.344,122.0,29,4,2,0,0,0
Jake Lamb*,2022,31,SEA,AL,-0.3,16,34,30,3,5,1,0,1,2,0,0,3,14,0.167,0.265,0.3,0.565,66.0,0.259,66.0,9,0,1,0,0,0
Ehire Adrianza#,2022,32,2TM,NL,-0.5,37,110,97,8,17,3,0,0,7,1,0,11,25,0.175,0.264,0.206,0.47,38.0,0.224,36.0,20,2,1,0,1,0
Ehire Adrianza#,2022,32,WSN,NL,-0.5,31,94,84,5,15,2,0,0,7,1,0,8,22,0.179,0.255,0.202,0.458,35.0,0.217,32.0,17,2,1,0,1,0
Ehire Adrianza#,2022,32,ATL,NL,0.1,6,16,13,3,2,1,0,0,0,0,0,3,3,0.154,0.313,0.231,0.543,55.0,0.265,59.0,3,0,0,0,0,0
Stuart Fairchild,2022,26,3TM,2LG,0.7,46,110,97,14,24,4,1,5,6,0,2,8,34,0.247,0.336,0.464,0.8,118.0,0.346,122.0,45,1,5,0,0,0
Stuart Fairchild,2022,26,2TM,NL,0.8,43,107,94,14,24,4,1,5,6,0,2,8,32,0.255,0.346,0.479,0.825,125.0,0.355,128.0,45,1,5,0,0,0
Stuart Fairchild,2022,26,SEA,AL,-0.1,3,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,-121.0,0,0,0,0,0,0
Stuart Fairchild,2022,26,SFG,NL,-0.1,5,8,8,1,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0.0,-127.0,0,0,0,0,0,0
Stuart Fairchild,2022,26,CIN,NL,0.9,38,99,86,13,24,4,1,5,6,0,2,8,29,0.279,0.374,0.523,0.897,144.0,0.384,149.0,45,1,5,0,0,0
Romy González,2022,25,CHW,AL,-0.3,32,109,105,15,25,4,1,2,11,0,1,2,39,0.238,0.257,0.352,0.609,72.0,0.268,69.0,37,3,1,0,1,0
Drew Waters#,2022,23,KCR,AL,0.4,32,109,96,14,23,6,1,5,18,0,0,12,40,0.24,0.324,0.479,0.803,124.0,0.346,121.0,46,1,0,0,0,0
Spencer Steer,2022,24,CIN,NL,0.1,28,108,95,12,20,5,0,2,8,0,1,11,26,0.211,0.306,0.326,0.632,74.0,0.28,70.0,31,2,2,0,0,0
Zack Collins*,2022,27,2TM,2LG,-0.3,36,108,97,9,15,4,0,4,11,0,0,9,41,0.155,0.231,0.32,0.551,56.0,0.246,51.0,31,0,1,0,1,0
Zack Collins*,2022,27,TOR,AL,0.2,26,79,72,7,14,4,0,4,10,0,0,6,31,0.194,0.266,0.417,0.682,93.0,0.298,90.0,30,0,1,0,0,0
Zack Collins*,2022,27,PIT,NL,-0.4,10,29,25,2,1,0,0,0,1,0,0,3,10,0.04,0.138,0.04,0.178,-46.0,0.103,-53.0,1,0,0,0,1,0
Danny Mendick,2022,28,CHW,AL,0.5,31,106,97,22,28,4,1,3,15,1,0,7,23,0.289,0.343,0.443,0.786,122.0,0.347,121.0,43,2,1,1,0,0
Robinson Canó*,2022,39,3TM,NL,-1.5,33,104,100,5,15,1,0,1,4,0,0,4,25,0.15,0.183,0.19,0.373,7.0,0.177,2.0,19,2,0,0,0,0
