player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
Yan Gomes,2022,34,CHC,NL,0.7,86,293,277,23,65,12,0,8,31,2,0,8,47,0.235,0.26,0.365,0.625,72.0,0.282,71.0,101,15,3,1,4,0
Andrew Knizner,2022,27,STL,NL,0.7,96,293,260,28,56,10,0,4,25,0,1,26,62,0.215,0.301,0.3,0.601,74.0,0.277,75.0,78,9,6,1,0,0
Sheldon Neuse,2022,27,OAK,AL,-0.8,89,293,271,25,58,4,2,4,26,6,1,20,80,0.214,0.273,0.288,0.561,66.0,0.259,65.0,78,5,2,0,0,0
Frank Schwindel,2022,30,CHC,NL,-1.1,75,292,271,23,62,11,0,8,36,0,0,19,58,0.229,0.277,0.358,0.635,76.0,0.28,71.0,97,12,0,0,2,1
Joey Bart,2022,25,SFG,NL,0.8,97,291,261,34,56,6,0,11,25,2,1,26,112,0.215,0.296,0.364,0.66,87.0,0.296,87.0,95,5,4,0,0,0
Alfonso Rivas III*,2022,25,CHC,NL,0.4,101,287,251,27,59,5,2,3,25,6,1,29,87,0.235,0.322,0.307,0.628,77.0,0.288,73.0,77,1,4,1,2,1
Wil Myers,2022,31,SDP,NL,1.0,77,286,261,29,68,15,0,7,41,2,1,21,86,0.261,0.315,0.398,0.713,106.0,0.309,100.0,104,7,1,0,3,1
Jo Adell,2022,23,LAA,AL,-0.7,88,285,268,22,60,12,2,8,27,4,2,11,107,0.224,0.264,0.373,0.637,78.0,0.283,75.0,100,6,4,0,1,0
Mike Moustakas*,2022,33,CIN,NL,-0.9,78,285,252,30,54,12,0,7,25,2,0,24,75,0.214,0.295,0.345,0.64,76.0,0.287,70.0,87,8,6,0,3,0
Diego Castillo,2022,24,PIT,NL,-0.7,96,283,262,28,54,13,0,11,29,1,1,14,75,0.206,0.251,0.382,0.633,77.0,0.287,80.0,100,7,3,0,4,1
Rodolfo Castro,2022,23,PIT,NL,1.4,71,278,253,25,59,8,4,11,27,5,3,22,74,0.233,0.299,0.427,0.725,103.0,0.32,104.0,108,6,2,0,1,0
Kyle Isbel*,2022,25,KCR,AL,0.5,106,278,256,32,54,10,4,5,28,9,6,16,75,0.211,0.264,0.34,0.603,70.0,0.262,62.0,87,5,3,1,2,0
Michael Brantley*,2022,35,HOU,AL,1.2,64,277,243,28,70,14,1,5,26,1,1,31,30,0.288,0.37,0.416,0.785,126.0,0.345,124.0,101,1,1,1,1,2
Pavin Smith*,2022,26,ARI,NL,0.4,75,277,245,24,54,9,0,9,33,1,0,28,67,0.22,0.3,0.367,0.667,89.0,0.298,86.0,90,2,1,0,3,1
Aristides Aquino,2022,28,CIN,NL,1.3,80,276,259,24,51,13,0,10,30,2,3,17,101,0.197,0.246,0.363,0.609,65.0,0.267,60.0,94,1,0,0,0,0
Franchy Cordero*,2022,27,BOS,AL,-0.2,84,275,242,36,53,17,1,8,29,4,1,28,92,0.219,0.3,0.397,0.697,92.0,0.309,89.0,96,1,1,2,2,1
Jorge Alfaro,2022,29,SDP,NL,0.8,82,274,256,25,63,14,0,7,40,1,0,11,98,0.246,0.285,0.383,0.667,92.0,0.291,87.0,98,5,4,0,3,0
Juan Yepez,2022,24,STL,NL,0.4,76,274,253,27,64,13,0,12,30,0,0,16,61,0.253,0.296,0.447,0.742,109.0,0.331,113.0,113,6,1,0,4,0
Reese McGuire*,2022,27,2TM,AL,0.9,89,274,249,25,67,14,1,3,22,1,0,12,56,0.269,0.307,0.369,0.677,90.0,0.301,86.0,92,6,3,6,3,0
Reese McGuire*,2022,27,CHW,AL,0.0,53,166,151,12,34,9,0,0,10,0,0,6,33,0.225,0.261,0.285,0.546,56.0,0.248,49.0,43,2,2,5,2,0
Reese McGuire*,2022,27,BOS,AL,0.9,36,108,98,13,33,5,1,3,12,1,0,6,23,0.337,0.377,0.5,0.877,142.0,0.382,142.0,49,4,1,1,1,0
Matt Reynolds,2022,31,2TM,NL,0.7,93,272,244,31,60,10,1,3,23,5,0,26,78,0.246,0.32,0.332,0.652,80.0,0.304,81.0,81,7,1,0,1,0
Matt Reynolds,2022,31,NYM,NL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
Matt Reynolds,2022,31,CIN,NL,0.7,92,272,244,31,60,10,1,3,23,5,0,26,78,0.246,0.32,0.332,0.652,80.0,0.304,81.0,81,7,1,0,1,0
Yadier Molina,2022,39,STL,NL,0.1,78,270,262,19,56,8,0,5,24,2,0,5,40,0.214,0.233,0.302,0.535,52.0,0.244,49.0,79,10,2,0,1,0
Eddie Rosario*,2022,30,ATL,NL,-1.9,80,270,250,27,53,12,1,5,24,3,0,17,68,0.212,0.259,0.328,0.587,62.0,0.263,56.0,82,3,0,0,3,0
Ozzie Albies#,2022,25,ATL,NL,0.8,64,269,247,36,61,16,0,8,35,3,5,16,47,0.247,0.294,0.409,0.703,93.0,0.3,88.0,101,0,2,0,4,0
Keston Hiura,2022,25,MIL,NL,0.8,80,266,234,34,53,8,1,14,32,5,2,23,111,0.226,0.316,0.449,0.765,113.0,0.347,121.0,105,3,8,0,1,0
Brandon Lowe*,2022,27,TBR,AL,0.9,65,266,235,31,52,10,2,8,25,1,0,27,61,0.221,0.308,0.383,0.691,101.0,0.308,100.0,90,1,3,0,1,0
Mauricio Dubón,2022,27,2TM,2LG,0.0,104,265,243,31,52,9,0,5,24,2,3,13,30,0.214,0.252,0.313,0.565,61.0,0.247,55.0,76,7,1,3,5,0
